date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-03-06,153.42,160.11,153.005,159.15,159.15,3137434.0,0.0,1.0
2020-03-05,159.44,163.15,158.93,160.67,160.67,3359661.0,0.0,1.0
2020-03-04,158.42,164.62,156.81,164.39,164.39,2847640.0,0.0,1.0
2020-03-03,161.63,164.44,154.0,155.24,155.24,3095168.0,0.0,1.0
2020-03-02,155.55,163.09,154.24,163.0,163.0,3194691.0,0.0,1.0
2020-02-28,153.41,159.45,150.53,154.74,154.74,4585812.0,0.0,1.0
2020-02-27,164.06,165.97,157.46,157.53,157.53,2843642.0,0.0,1.0
2020-02-26,169.0,170.8,166.23,166.33,166.33,2319739.0,0.0,1.0
2020-02-25,174.65,175.49,166.895,167.18,167.18,2606831.0,0.0,1.0
2020-02-24,175.78,177.18,173.9,174.54,174.54,2084064.0,0.0,1.0
2020-02-21,179.8,180.43,177.35,178.58,178.58,3538453.0,0.0,1.0
2020-02-20,180.67,181.75,178.5,180.77,180.77,1501665.0,0.0,1.0
2020-02-19,180.5,181.74,180.19,181.25,181.25,1651517.0,0.0,1.0
2020-02-18,181.36,182.32,179.74,179.93,179.93,1512243.0,0.0,1.0
2020-02-14,180.16,181.28,179.395,181.25,181.25,1566513.0,0.0,1.0
2020-02-13,177.47,180.99,177.07,180.11,180.11,1913906.0,0.0,1.0
2020-02-12,180.8505,180.8505,176.9,178.03,178.03,2622477.0,0.0,1.0
2020-02-11,180.25,180.25,177.79,177.97,177.97,1584176.0,0.0,1.0
2020-02-10,178.66,179.815,178.31,179.36,179.36,2153756.0,0.0,1.0
2020-02-07,179.78,179.9,178.485,179.1,179.1,2311532.0,0.0,1.0
2020-02-06,179.75,180.47,178.8,180.26,180.26,1600799.0,0.0,1.0
2020-02-05,178.37,179.01,176.81,178.62,178.62,2675204.0,0.0,1.0
2020-02-04,176.67,178.07,174.8,175.92,175.92,3423514.0,0.0,1.0
2020-02-03,173.88,175.17,172.995,173.94,173.94,2162833.0,0.0,1.0
2020-01-31,174.5,175.44,170.84,171.39,171.39,3316666.0,0.0,1.0
2020-01-30,168.96,175.08,168.3402,175.005,175.005,2731668.0,0.0,1.0
2020-01-29,171.85,174.28,170.935,171.04,171.04,3842815.0,0.0,1.0
2020-01-28,176.03,178.955,175.9,178.3,178.3,1641967.0,0.0,1.0
2020-01-27,175.19,176.63,174.49,175.74,175.74,1622489.0,0.0,1.0
2020-01-24,178.83,178.93,176.18,177.21,177.21,1676654.0,0.0,1.0
2020-01-23,177.77,178.4581,177.01,177.83,177.83,1520335.0,0.0,1.0
2020-01-22,178.32,179.89,177.19,178.33,178.33,2060125.0,0.0,1.0
2020-01-21,174.95,177.6,174.95,176.2,176.2,1887463.0,0.0,1.0
2020-01-17,176.03,176.91,175.1,176.87,176.87,2818213.0,0.0,1.0
2020-01-16,173.86,174.94,172.935,174.88,174.88,2281180.0,0.0,1.0
2020-01-15,172.07,174.49,171.81,172.81,172.81,2114613.0,0.0,1.0
2020-01-14,172.12,172.35,170.5,171.23,171.23,1688109.0,0.0,1.0
2020-01-13,171.52,172.47,171.1,172.36,172.36,922534.0,0.0,1.0
2020-01-10,172.0,172.0,170.635,171.09,171.09,968720.0,0.0,1.0
2020-01-09,170.38,171.34,170.12,171.21,171.21,1189646.0,0.0,1.0
2020-01-08,168.79,170.51,168.17,169.71,169.71,1675559.0,0.0,1.0
2020-01-07,169.29,169.455,167.95,168.13,168.13,1879115.0,0.0,1.0
2020-01-06,169.08,170.34,168.825,170.19,170.19,1205933.0,0.0,1.0
2020-01-03,168.06,170.45,168.06,169.96,169.96,1000060.0,0.0,1.0
2020-01-02,171.96,172.0,169.2,170.32,170.32,1364626.0,0.0,1.0
2019-12-31,169.22,170.66,169.22,170.5,170.5,903032.0,0.0,1.0
2019-12-30,170.51,170.85,169.03,169.59,169.59,867072.0,0.0,1.0
2019-12-27,170.77,170.95,169.754,170.77,170.77,821431.0,0.0,1.0
2019-12-26,170.35,170.82,169.58,170.35,170.35,1714090.0,0.0,1.0
2019-12-24,169.95,170.31,169.35,169.91,169.91,350248.0,0.0,1.0
2019-12-23,171.27,171.36,169.74,170.02,170.02,1139895.0,0.0,1.0
2019-12-20,170.28,171.32,168.23,171.09,171.09,3947248.0,0.0,1.0
2019-12-19,167.26,169.39,166.74,168.74,168.74,1984839.0,0.0,1.0
2019-12-18,168.38,169.74,167.25,167.56,167.56,2069897.0,0.0,1.0
2019-12-17,168.81,169.44,168.04,168.32,168.32,1838805.0,0.0,1.0
2019-12-16,169.16,169.66,168.48,168.59,168.59,2404032.0,0.0,1.0
2019-12-13,166.69,168.39,166.01,168.26,168.26,1308380.0,0.0,1.0
2019-12-12,166.26,167.55,165.23,167.16,167.16,1931103.0,0.91,1.0
2019-12-11,168.06,168.31,166.51,167.24,166.3345,1245785.0,0.0,1.0
2019-12-10,169.07,169.225,168.16,168.43,167.5181,1523413.0,0.0,1.0
2019-12-09,169.68,170.11,168.8096,169.07,168.1546,1508186.0,0.0,1.0
2019-12-06,169.61,170.59,169.505,169.98,169.0597,1300116.0,0.0,1.0
2019-12-05,168.89,169.01,167.5194,168.36,167.4484,1748817.0,0.0,1.0
2019-12-04,167.12,168.87,166.84,168.57,167.6573,1863695.0,0.0,1.0
2019-12-03,166.77,167.44,166.22,167.13,166.2251,2953108.0,0.0,1.0
2019-12-02,170.53,170.87,168.15,168.59,167.6772,1342031.0,0.0,1.0
2019-11-29,170.82,171.5,170.24,170.78,169.8553,706162.0,0.0,1.0
2019-11-27,171.8,171.9,170.96,171.48,170.5515,1093436.0,0.0,1.0
2019-11-26,170.21,171.92,170.15,171.62,170.6908,2021047.0,0.0,1.0
2019-11-25,170.27,170.9406,169.78,170.2,169.2785,1259539.0,0.0,1.0
2019-11-22,171.12,171.5,169.07,169.65,168.7314,1279067.0,0.0,1.0
2019-11-21,170.23,170.74,169.15,169.86,168.9403,1184828.0,0.0,1.0
2019-11-20,170.54,171.58,169.0,170.58,169.6564,1286941.0,0.0,1.0
2019-11-19,171.5,172.73,170.91,171.09,170.1636,1284047.0,0.0,1.0
2019-11-18,170.64,171.33,170.0,170.73,169.8056,1444542.0,0.0,1.0
2019-11-15,171.19,171.19,169.07,171.17,170.2432,1611220.0,0.0,1.0
2019-11-14,168.77,170.48,167.79,170.14,169.2188,2367904.0,0.0,1.0
2019-11-13,166.98,169.5225,166.47,168.98,168.0651,2346840.0,0.0,1.0
2019-11-12,164.15,166.49,163.76,166.36,165.4593,1921680.0,0.0,1.0
2019-11-11,162.0,163.92,161.64,163.42,162.5352,1417883.0,0.0,1.0
2019-11-08,161.73,163.08,161.175,162.73,161.8489,1787538.0,0.0,1.0
2019-11-07,160.54,163.58,159.88,162.1,161.2223,2166846.0,0.0,1.0
2019-11-06,157.87,160.18,157.345,159.66,158.7955,2142857.0,0.0,1.0
2019-11-05,161.35,161.74,156.89,157.01,156.1599,3924599.0,0.0,1.0
2019-11-04,164.21,164.61,161.71,161.88,161.0035,2542856.0,0.0,1.0
2019-11-01,163.4,163.75,162.13,162.98,162.0976,1375890.0,0.0,1.0
2019-10-31,163.42,164.41,160.68,162.23,161.3516,6511280.0,0.0,1.0
2019-10-30,158.8,164.33,158.26,164.15,163.2612,2878301.0,0.0,1.0
2019-10-29,162.63,164.355,162.46,162.83,161.9484,1557212.0,0.0,1.0
2019-10-28,162.58,162.92,160.93,162.48,161.6003,1377763.0,0.0,1.0
2019-10-25,162.01,163.36,161.575,161.96,161.0831,2199993.0,0.0,1.0
2019-10-24,160.95,162.64,160.1,162.54,161.6599,1100972.0,0.0,1.0
2019-10-23,159.27,160.76,159.09,160.04,159.1735,1726606.0,0.0,1.0
2019-10-22,162.35,163.29,159.46,159.49,158.6265,1336003.0,0.0,1.0
2019-10-21,164.08,164.49,161.3,162.03,161.1527,1714349.0,0.0,1.0
2019-10-18,164.33,164.445,162.92,163.54,162.6545,1650364.0,0.0,1.0
2019-10-17,164.54,165.2,163.61,163.83,162.943,1091688.0,0.0,1.0
2019-10-16,163.74,164.45,162.06,164.16,163.2712,1665162.0,0.0,1.0
2019-10-15,162.54,164.45,162.49,164.12,163.2314,1355762.0,0.0,1.0
2019-10-14,162.65,163.81,162.12,162.46,161.5804,1288020.0,0.0,1.0
2019-10-11,162.41,163.84,161.0,162.52,161.64,1994228.0,0.0,1.0
2019-10-10,157.93,160.97,157.86,160.72,159.8498,1597573.0,0.0,1.0
2019-10-09,157.64,158.94,156.6,158.46,157.602,1658697.0,0.0,1.0
2019-10-08,157.55,158.35,155.84,156.32,155.4736,1531767.0,0.0,1.0
2019-10-07,158.95,159.81,157.98,158.89,158.0297,1036318.0,0.0,1.0
2019-10-04,158.13,159.42,157.895,159.17,158.3082,1363367.0,0.0,1.0
2019-10-03,156.36,157.6,153.72,157.54,156.687,1667880.0,0.0,1.0
2019-10-02,158.97,159.24,155.48,156.62,155.772,2755079.0,0.0,1.0
2019-10-01,162.31,162.94,160.08,160.43,159.5614,1811805.0,0.0,1.0
2019-09-30,160.83,162.1,160.75,161.42,160.546,1511432.0,0.0,1.0
2019-09-27,163.79,163.97,158.94,160.43,159.5614,2067422.0,0.0,1.0
2019-09-26,162.24,163.95,161.7,163.27,162.386,2111586.0,0.0,1.0
2019-09-25,160.08,161.95,158.82,161.68,160.8046,2371221.0,0.0,1.0
2019-09-24,160.12,162.44,158.77,160.03,159.1635,2829328.0,0.0,1.0
2019-09-23,158.77,160.6384,158.5,159.7,158.8353,1824880.0,0.0,1.0
2019-09-20,159.22,160.81,158.75,159.3,158.4375,2674919.0,0.0,1.0
2019-09-19,159.27,159.975,158.51,159.35,158.4872,1856879.0,0.0,1.0
2019-09-18,158.33,158.8567,156.04,157.77,156.9158,1722531.0,0.0,1.0
2019-09-17,158.4,159.24,157.6,158.83,157.97,2629221.0,0.0,1.0
2019-09-16,158.9,159.74,157.75,158.17,157.3136,2427945.0,0.0,1.0
2019-09-13,161.04,161.5973,158.95,159.74,158.8751,1906949.0,0.0,1.0
2019-09-12,161.16,162.79,160.15,160.41,159.5415,2209223.0,0.79,1.0
2019-09-11,163.14,164.9171,160.4,161.14,159.4821,2659359.0,0.0,1.0
2019-09-10,166.94,168.03,161.61,164.33,162.6393,2010177.0,0.0,1.0
2019-09-09,173.56,173.69,167.13,168.05,166.321,1670167.0,0.0,1.0
2019-09-06,173.3678,174.5,173.02,173.25,171.4675,4866009.0,0.0,1.0
2019-09-05,171.15,173.54,170.8,173.27,171.4873,1742662.0,0.0,1.0
2019-09-04,168.53,170.09,168.5,169.71,167.9639,1359862.0,0.0,1.0
2019-09-03,167.75,169.5,166.6,167.21,165.4896,1528185.0,0.0,1.0
2019-08-30,170.71,170.92,169.03,169.84,168.0926,1586245.0,0.0,1.0
2019-08-29,169.31,170.8122,168.76,169.44,167.6967,1186790.0,0.0,1.0
2019-08-28,165.95,167.49,164.72,167.22,165.4995,1523926.0,0.0,1.0
2019-08-27,168.14,168.14,166.08,166.85,165.1333,1595204.0,0.0,1.0
2019-08-26,166.65,166.9768,164.985,166.81,165.0938,1197450.0,0.0,1.0
2019-08-23,169.06,170.17,164.195,164.8,163.1044,1685091.0,0.0,1.0
2019-08-22,169.55,170.705,167.29,169.53,167.7858,1174367.0,0.0,1.0
2019-08-21,168.89,169.69,168.43,169.69,167.9441,1235084.0,0.0,1.0
2019-08-20,168.59,169.79,167.64,167.88,166.1527,1143408.0,0.0,1.0
