date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-03-06,203.97,211.61,203.82,210.65,210.65,3100544.0,0.0,1.0
2020-03-05,207.66,216.39,207.58,212.12,212.12,3185407.0,0.0,1.0
2020-03-04,209.53,215.29,207.62,215.11,215.11,3880450.0,0.0,1.0
2020-03-03,210.34,216.16,202.66,204.42,204.42,3975261.0,0.0,1.0
2020-03-02,199.9,212.37,198.71,212.2,212.2,4245732.0,0.0,1.0
2020-02-28,198.05,203.0,195.18,199.73,199.73,5316456.0,0.0,1.0
2020-02-27,214.92,215.28,203.22,203.5,203.5,4071060.0,0.0,1.0
2020-02-26,216.18,216.7,212.02,214.54,214.54,3313975.0,0.0,1.0
2020-02-25,218.08,219.56,209.82,210.38,210.38,3915518.0,0.0,1.0
2020-02-24,219.88,223.99,215.76,217.88,217.88,3049587.0,0.0,1.0
2020-02-21,222.24,223.8,220.99,222.79,222.79,2047484.0,0.0,1.0
2020-02-20,223.2,223.4795,218.51,222.14,222.14,1637976.0,0.0,1.0
2020-02-19,222.94,224.05,222.05,222.96,222.96,1322884.0,0.0,1.0
2020-02-18,224.15,224.35,220.92,221.69,221.69,1936402.0,0.0,1.0
2020-02-14,222.93,223.49,221.34,223.48,223.48,1611960.0,0.0,1.0
2020-02-13,224.99,226.52,222.82,223.04,223.04,1946511.0,1.6,1.0
2020-02-12,229.47,230.23,225.88,227.0,225.3832,2501250.0,0.0,1.0
2020-02-11,227.7,229.465,226.795,228.96,227.3292,1934539.0,0.0,1.0
2020-02-10,228.15,228.96,226.26,227.42,225.8002,2144696.0,0.0,1.0
2020-02-07,231.41,232.18,227.67,229.33,227.6966,2295149.0,0.0,1.0
2020-02-06,233.72,233.89,229.34,231.45,229.8015,2007526.0,0.0,1.0
2020-02-05,223.74,234.64,223.74,231.94,230.288,3669477.0,0.0,1.0
2020-02-04,220.77,223.85,220.48,221.81,220.2302,2765342.0,0.0,1.0
2020-02-03,216.39,219.62,215.56,216.88,215.3353,2565440.0,0.0,1.0
2020-01-31,218.7635,219.08,210.01,216.05,214.5112,5968931.0,0.0,1.0
2020-01-30,226.0,226.97,223.31,226.15,224.5392,2581606.0,0.0,1.0
2020-01-29,225.5,228.93,225.0,227.15,225.5321,2001389.0,0.0,1.0
2020-01-28,223.57,226.7,222.85,224.84,223.2386,2103970.0,0.0,1.0
2020-01-27,223.68,224.93,221.17,222.95,221.362,2843551.0,0.0,1.0
2020-01-24,235.8,235.88,224.5,225.59,223.9832,5020236.0,0.0,1.0
2020-01-23,237.06,237.06,233.07,235.04,233.3659,2088691.0,0.0,1.0
2020-01-22,238.75,239.7,235.755,236.75,235.0637,1998233.0,0.0,1.0
2020-01-21,240.97,242.01,237.26,237.6,235.9077,3071079.0,0.0,1.0
2020-01-17,242.11,242.14,239.27,241.49,239.77,2582849.0,0.0,1.0
2020-01-16,242.18,243.85,239.845,240.5,238.787,2085686.0,0.0,1.0
2020-01-15,240.67,242.6,240.05,241.7,239.9785,1920726.0,0.0,1.0
2020-01-14,235.8,240.68,235.17,240.0,238.2906,2239061.0,0.0,1.0
2020-01-13,238.26,238.33,234.79,236.92,235.2325,1971237.0,0.0,1.0
2020-01-10,238.68,240.93,237.61,238.26,236.563,1777614.0,0.0,1.0
2020-01-09,239.69,239.69,237.97,238.93,237.2282,1628950.0,0.0,1.0
2020-01-08,237.93,239.58,236.61,238.22,236.5233,2214850.0,0.0,1.0
2020-01-07,239.31,240.0,237.59,238.04,236.3446,1522109.0,0.0,1.0
2020-01-06,237.2,240.45,236.56,240.3,238.5885,1802823.0,0.0,1.0
2020-01-03,237.1635,240.26,236.2435,238.47,236.7715,1879024.0,0.0,1.0
2020-01-02,243.0,243.19,238.98,240.1,238.3899,1901323.0,0.0,1.0
2019-12-31,240.28,241.46,238.5,241.07,239.353,1748329.0,0.0,1.0
2019-12-30,241.4,242.98,239.4,240.27,238.5587,1454466.0,0.0,1.0
2019-12-27,242.24,242.99,240.16,241.53,239.8097,1084967.0,0.0,1.0
2019-12-26,242.72,243.64,241.32,241.9,240.1771,1098813.0,0.0,1.0
2019-12-24,242.82,243.1,241.72,242.33,240.604,612809.0,0.0,1.0
2019-12-23,243.98,244.0,241.59,243.03,241.299,1686220.0,0.0,1.0
2019-12-20,244.57,244.57,240.7,243.06,241.3288,5093604.0,0.0,1.0
2019-12-19,242.78,243.3,239.93,241.84,240.1175,2305894.0,0.0,1.0
2019-12-18,242.21,243.22,241.015,241.94,240.2168,2956658.0,0.0,1.0
2019-12-17,243.58,244.99,241.28,242.84,241.1104,2382462.0,0.0,1.0
2019-12-16,239.5,244.53,239.5,243.2,241.4678,3047750.0,0.0,1.0
2019-12-13,235.6,238.12,235.14,236.74,235.0538,2041194.0,0.0,1.0
2019-12-12,234.58,237.24,234.06,235.99,234.3092,1851696.0,0.0,1.0
2019-12-11,234.03,234.97,233.03,234.01,232.3433,1754093.0,0.0,1.0
2019-12-10,231.92,235.12,231.51,233.84,232.1745,1494839.0,0.0,1.0
2019-12-09,234.96,235.05,232.63,232.82,231.1617,1912994.0,0.0,1.0
2019-12-06,234.68,235.0,233.19,233.77,232.105,1860926.0,0.0,1.0
2019-12-05,233.69,233.765,231.46,233.41,231.7475,2083616.0,0.0,1.0
2019-12-04,232.73,234.89,232.0,233.88,232.2142,1908545.0,0.0,1.0
2019-12-03,231.48,233.18,230.78,232.77,231.1121,1933600.0,0.0,1.0
2019-12-02,234.54,235.8,232.63,233.48,231.817,1634444.0,0.0,1.0
2019-11-29,234.13,235.47,233.75,234.72,233.0482,945636.0,0.0,1.0
2019-11-27,234.65,235.28,231.85,234.54,232.8695,1579798.0,0.0,1.0
2019-11-26,233.98,234.89,232.01,234.39,232.7206,3300943.0,0.0,1.0
2019-11-25,231.08,235.8,231.08,234.54,232.8695,2638668.0,0.0,1.0
