date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-03-06,284.46,288.24,281.29,288.11,288.11,1148547.0,0.0,1.0
2020-03-05,291.04,295.94,286.04,288.25,288.25,1454047.0,0.0,1.0
2020-03-04,292.39,301.99,289.9812,301.61,301.61,1289473.0,0.0,1.0
2020-03-03,292.93,296.85,282.2187,284.3,284.3,1916511.0,0.0,1.0
2020-03-02,279.62,287.49,275.47,287.49,287.49,1081349.0,0.0,1.0
2020-02-28,267.81,277.46,265.98,276.71,276.71,1649995.0,0.0,1.0
2020-02-27,278.86,286.85,275.87,277.23,277.23,1374017.0,0.0,1.0
2020-02-26,289.45,292.31,285.59,286.32,286.32,861106.0,0.0,1.0
2020-02-25,295.55,295.93,284.44,284.59,284.59,1166764.0,0.0,1.0
2020-02-24,289.05,295.23,288.27,290.4,290.4,1347506.0,0.0,1.0
2020-02-21,310.2,310.83,304.73,306.0,306.0,1134696.0,0.0,1.0
2020-02-20,315.85,316.58,310.44,313.47,313.47,1118367.0,0.0,1.0
2020-02-19,311.15,317.63,311.0,317.39,317.39,1093927.0,0.0,1.0
2020-02-18,307.4,310.205,306.89,309.18,309.18,757296.0,0.0,1.0
2020-02-14,317.37,319.22,314.51,316.3,316.3,661436.0,0.0,1.0
2020-02-13,314.95,318.37,314.02,317.25,317.25,742245.0,0.0,1.0
2020-02-12,315.63,317.71,315.25,317.44,317.44,656051.0,0.0,1.0
2020-02-11,313.04,316.27,313.01,316.01,316.01,789870.0,0.0,1.0
2020-02-10,304.04,309.7,304.0,309.68,309.68,373030.0,0.0,1.0
2020-02-07,304.67,305.63,303.2,304.97,304.97,1775905.0,0.0,1.0
2020-02-06,307.53,309.605,306.62,309.55,309.55,698031.0,0.0,1.0
2020-02-05,307.35,307.35,303.05,306.32,306.32,1042369.0,0.0,1.0
2020-02-04,294.91,299.26,294.23,299.23,299.23,795433.0,0.0,1.0
2020-02-03,283.63,288.8516,283.32,288.16,288.16,830843.0,0.0,1.0
2020-01-31,288.0,288.25,280.17,280.66,280.66,1272806.0,0.0,1.0
2020-01-30,290.79,294.7,290.54,294.38,294.38,794190.0,0.0,1.0
2020-01-29,296.07,298.29,293.71,296.14,296.14,967502.0,0.0,1.0
2020-01-28,286.23,290.26,285.16,290.18,290.18,1636148.0,0.0,1.0
2020-01-27,287.16,288.62,283.77,284.28,284.28,889254.0,0.0,1.0
2020-01-24,296.89,299.33,294.49,295.83,295.83,977783.0,0.0,1.0
2020-01-23,296.93,297.1,291.56,294.32,294.32,712991.0,0.0,1.0
2020-01-22,300.56,301.66,296.01,296.25,296.25,1108613.0,0.0,1.0
2020-01-21,298.11,301.25,297.47,298.4,298.4,560993.0,0.0,1.0
2020-01-17,300.9,301.05,299.27,300.04,300.04,743936.0,0.0,1.0
2020-01-16,302.55,302.94,299.55,301.08,301.08,547912.0,0.0,1.0
2020-01-15,301.6,302.95,299.75,300.08,300.08,505340.0,0.0,1.0
2020-01-14,299.15,305.9,298.47,302.55,302.55,609646.0,0.0,1.0
2020-01-13,298.68,301.62,297.5,301.45,301.45,401248.0,0.0,1.0
2020-01-10,300.05,300.51,295.56,296.18,296.18,447694.0,0.0,1.0
2020-01-09,303.28,303.9065,300.275,301.38,301.38,579680.0,0.0,1.0
2020-01-08,300.66,303.19,299.94,301.89,301.89,536875.0,0.0,1.0
2020-01-07,298.67,301.218,297.41,298.79,298.79,478006.0,0.0,1.0
2020-01-06,293.17,295.72,292.43,295.58,295.58,617579.0,0.0,1.0
2020-01-03,298.04,300.75,297.66,297.95,297.95,410750.0,0.0,1.0
2020-01-02,301.27,303.32,300.61,302.83,302.83,573580.0,0.0,1.0
2019-12-31,294.98,296.49,293.36,295.94,295.94,298862.0,0.0,1.0
2019-12-30,296.42,296.7,293.65,294.89,294.89,338891.0,0.0,1.0
2019-12-27,297.45,298.5,296.15,296.67,296.67,316999.0,0.0,1.0
2019-12-26,295.04,296.545,294.23,296.34,296.34,191258.0,0.0,1.0
2019-12-24,293.99,295.19,291.3,294.93,294.93,219543.0,0.0,1.0
2019-12-23,295.5,297.42,295.45,296.14,296.14,424873.0,0.0,1.0
2019-12-20,292.75,294.36,292.3071,293.59,293.59,824659.0,0.0,1.0
2019-12-19,290.65,291.83,289.14,291.82,291.82,410055.0,0.0,1.0
2019-12-18,294.83,295.66,291.91,292.16,292.16,478551.0,0.0,1.0
2019-12-17,296.98,297.09,293.06,294.84,294.84,401128.0,0.0,1.0
2019-12-16,291.23,293.95,291.23,292.97,292.97,552899.0,0.0,1.0
2019-12-13,288.53,291.83,287.11,289.89,289.89,722969.0,0.0,1.0
2019-12-12,281.7,287.28,281.3,287.24,287.24,856794.0,0.0,1.0
2019-12-11,278.44,284.36,278.44,284.04,284.04,465664.0,0.0,1.0
2019-12-10,277.89,280.28,277.23,279.11,279.11,380014.0,0.0,1.0
2019-12-09,282.12,282.5,277.4317,277.52,277.52,431136.0,0.0,1.0
2019-12-06,280.8,281.97,278.595,280.09,280.09,724697.0,0.0,1.0
2019-12-05,272.81,275.18,271.4,273.84,273.84,639258.0,0.0,1.0
2019-12-04,268.96,270.41,268.14,269.76,269.76,447229.0,0.0,1.0
2019-12-03,263.14,265.0,261.11,264.84,264.84,934456.0,0.0,1.0
2019-12-02,270.11,270.21,263.92,265.59,265.59,777790.0,0.0,1.0
2019-11-29,273.43,273.43,270.43,270.62,270.62,267557.0,0.0,1.0
2019-11-27,271.2,271.65,270.08,271.48,271.48,383301.0,0.0,1.0
2019-11-26,273.72,273.84,271.21,271.47,271.47,454831.0,0.0,1.0
2019-11-25,268.36,271.75,268.13,271.15,271.15,412273.0,0.0,1.0
2019-11-22,269.87,270.23,264.81,266.22,266.22,619728.0,0.0,1.0
2019-11-21,269.45,269.51,266.59,267.03,267.03,655887.0,0.0,1.0
2019-11-20,271.3,272.0,267.0,268.87,268.87,415565.0,0.0,1.0
2019-11-19,272.95,273.24,270.4,271.55,271.55,470172.0,0.0,1.0
2019-11-18,272.95,276.23,271.81,273.47,273.47,440469.0,0.0,1.0
2019-11-15,274.31,275.52,273.58,274.97,274.97,670740.0,0.0,1.0
2019-11-14,268.65,270.4558,268.15,269.73,269.73,547428.0,0.0,1.0
2019-11-13,268.03,270.49,267.305,269.92,269.92,426081.0,0.0,1.0
2019-11-12,268.2,269.15,266.61,267.59,267.59,341242.0,0.0,1.0
2019-11-11,266.15,267.49,265.13,266.72,266.72,454891.0,0.0,1.0
2019-11-08,265.79,268.2,264.69,267.29,267.29,746548.0,0.0,1.0
2019-11-07,269.08,270.77,267.2,267.65,267.65,564073.0,0.0,1.0
2019-11-06,269.55,270.13,267.81,268.74,268.74,909455.0,0.0,1.0
2019-11-05,271.82,273.93,271.0,271.8,271.8,406295.0,0.0,1.0
2019-11-04,272.6,275.0,272.085,273.18,273.18,664631.0,2.1528,1.0
2019-11-01,267.21,270.84,266.16,270.6,268.4842,619244.0,0.0,1.0
2019-10-31,265.3,265.3,261.32,261.97,259.9217,634995.0,0.0,1.0
2019-10-30,263.16,266.02,261.08,265.65,263.5729,497284.0,0.0,1.0
2019-10-29,268.88,269.26,264.24,264.6,262.5311,510496.0,0.0,1.0
2019-10-28,267.39,268.36,265.8803,266.51,264.4262,682869.0,0.0,1.0
2019-10-25,262.45,264.7,261.88,263.99,261.9259,555802.0,0.0,1.0
2019-10-24,260.8,265.48,260.6468,264.97,262.8982,647707.0,0.0,1.0
2019-10-23,254.85,257.95,253.585,257.66,255.6454,924662.0,0.0,1.0
2019-10-22,258.81,260.27,255.07,255.29,253.2939,828422.0,0.0,1.0
2019-10-21,257.78,261.0,257.1,260.43,258.3937,790374.0,0.0,1.0
2019-10-18,253.99,255.3,252.33,254.42,252.4307,1640925.0,0.0,1.0
2019-10-17,256.19,257.17,253.26,253.76,251.7759,1546221.0,0.0,1.0
2019-10-16,260.26,260.695,253.53,254.47,252.4803,1731682.0,0.0,1.0
2019-10-15,263.44,269.39,263.01,267.54,265.4481,1269317.0,0.0,1.0
2019-10-14,259.82,262.0,259.09,261.64,259.5942,731803.0,0.0,1.0
2019-10-11,258.4,262.46,257.74,260.0,257.9671,1041100.0,0.0,1.0
2019-10-10,249.14,254.24,248.38,251.49,249.5236,836633.0,0.0,1.0
2019-10-09,245.56,247.95,244.84,246.27,244.3444,437633.0,0.0,1.0
2019-10-08,244.05,245.6,241.51,242.08,240.1872,577353.0,0.0,1.0
2019-10-07,247.41,249.43,247.18,247.42,245.4854,562886.0,0.0,1.0
2019-10-04,244.47,246.355,244.18,246.04,244.1162,524443.0,0.0,1.0
2019-10-03,240.9,244.88,238.54,244.35,242.4394,548893.0,0.0,1.0
2019-10-02,243.49,243.52,238.2948,240.29,238.4112,712471.0,0.0,1.0
2019-10-01,249.17,250.17,244.68,245.39,243.4713,656158.0,0.0,1.0
2019-09-30,244.98,249.405,244.82,248.42,246.4776,512091.0,0.0,1.0
2019-09-27,247.07,248.05,241.315,243.71,241.8044,571819.0,0.0,1.0
2019-09-26,249.56,249.6442,246.47,248.04,246.1006,621176.0,0.0,1.0
2019-09-25,242.72,248.025,241.17,247.53,245.5946,541791.0,0.0,1.0
2019-09-24,248.74,249.94,245.14,246.39,244.4635,607357.0,0.0,1.0
2019-09-23,246.19,249.25,245.84,248.48,246.5371,349268.0,0.0,1.0
2019-09-20,250.7,250.88,244.6729,245.79,243.8682,838119.0,0.0,1.0
2019-09-19,250.43,252.1126,249.59,249.59,247.6385,416358.0,0.0,1.0
2019-09-18,248.71,250.54,246.61,249.79,247.8369,521048.0,0.0,1.0
2019-09-17,245.66,248.415,245.2,248.1,246.1601,735586.0,0.0,1.0
2019-09-16,246.08,247.325,245.39,246.21,244.2849,398937.0,0.0,1.0
2019-09-13,250.36,251.23,248.37,248.99,247.0432,934047.0,0.0,1.0
2019-09-12,245.1,248.21,244.6,246.83,244.9,827995.0,0.0,1.0
2019-09-11,241.68,245.24,241.24,245.24,243.3225,782459.0,0.0,1.0
2019-09-10,240.07,241.67,238.11,241.67,239.7804,735545.0,0.0,1.0
2019-09-09,239.08,242.32,238.885,241.33,239.4431,536701.0,0.0,1.0
