date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-03-06,108.96,112.01,108.32,111.58,111.58,1572864.0,0.0,1.0
2020-03-05,115.99,116.77,111.68,113.81,113.81,1623074.0,0.0,1.0
2020-03-04,117.81,119.26,115.94,119.19,119.19,1301763.0,0.0,1.0
2020-03-03,118.15,120.91,113.87,115.61,115.61,1656454.0,0.0,1.0
2020-03-02,115.36,119.98,113.125,119.98,119.98,2087718.0,0.0,1.0
2020-02-28,113.29,117.87,110.92,114.22,114.22,2984813.0,0.0,1.0
2020-02-27,121.74,121.98,116.04,116.08,116.08,1969178.0,0.0,1.0
2020-02-26,125.79,129.17,124.68,124.84,124.84,1319553.0,0.0,1.0
2020-02-25,130.34,131.07,124.75,125.15,125.15,1291717.0,0.0,1.0
2020-02-24,131.39,132.87,128.36,129.54,129.54,1441173.0,0.38,1.0
2020-02-21,137.37,138.3,133.145,133.91,133.5183,960149.0,0.0,1.0
2020-02-20,136.53,138.44,135.76,138.24,137.8357,667898.0,0.0,1.0
2020-02-19,135.27,137.36,135.08,136.63,136.2304,666976.0,0.0,1.0
2020-02-18,137.47,137.655,133.33,134.87,134.4755,1003198.0,0.0,1.0
2020-02-14,137.94,138.96,137.055,138.29,137.8855,1292565.0,0.0,1.0
2020-02-13,135.3,137.31,134.8853,137.28,136.8785,1034088.0,0.0,1.0
2020-02-12,136.0,137.56,135.69,136.59,136.1905,1028507.0,0.0,1.0
2020-02-11,134.31,136.18,133.33,135.97,135.5723,1228320.0,0.0,1.0
2020-02-10,132.71,134.07,132.5,133.99,133.5981,920042.0,0.0,1.0
2020-02-07,134.41,134.49,131.17,132.66,132.272,1354577.0,0.0,1.0
2020-02-06,134.51,138.45,133.68,134.64,134.2462,1186718.0,0.0,1.0
2020-02-05,137.22,137.4896,134.89,136.04,135.6421,1124335.0,0.0,1.0
2020-02-04,134.47,136.2406,133.9926,136.15,135.7518,1068774.0,0.0,1.0
2020-02-03,130.74,133.76,130.54,132.89,132.5013,1618159.0,0.0,1.0
2020-01-31,133.39,133.72,129.92,130.45,130.0684,1173061.0,0.0,1.0
2020-01-30,133.24,134.715,132.7307,133.83,133.4386,975104.0,0.0,1.0
2020-01-29,135.9,136.47,134.34,134.86,134.4656,746821.0,0.0,1.0
2020-01-28,134.66,135.73,133.91,135.46,135.0638,1180933.0,0.0,1.0
2020-01-27,135.48,136.05,133.76,133.87,133.4784,887080.0,0.0,1.0
2020-01-24,139.04,139.5,137.15,137.92,137.5166,856913.0,0.0,1.0
2020-01-23,136.58,138.85,135.47,138.73,138.3242,1175405.0,0.0,1.0
2020-01-22,137.18,138.25,136.35,136.58,136.1805,1131860.0,0.0,1.0
2020-01-21,136.14,138.12,135.83,136.08,135.682,1619438.0,0.0,1.0
2020-01-17,140.89,141.62,136.08,136.85,136.4497,2357027.0,0.0,1.0
2020-01-16,145.48,146.09,143.58,144.2,143.7782,834265.0,0.0,1.0
2020-01-15,143.89,145.4,143.44,144.6,144.1771,791263.0,0.0,1.0
2020-01-14,143.35,145.06,142.795,143.96,143.5389,863495.0,0.0,1.0
2020-01-13,142.76,143.72,141.86,143.35,142.9307,1363155.0,0.0,1.0
2020-01-10,142.42,143.93,141.23,142.36,141.9436,668427.0,0.0,1.0
