date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-03-06,70.45,73.72,70.26,73.36,73.36,3283864.0,0.0,1.0
2020-03-05,71.56,73.53,71.04,72.57,72.57,2442263.0,0.0,1.0
2020-03-04,72.36,73.55,71.81,73.49,73.49,2404507.0,0.0,1.0
2020-03-03,72.67,73.96,70.33,71.1,71.1,3217451.0,0.0,1.0
2020-03-02,69.51,72.59,69.22,72.55,72.55,3180106.0,0.0,1.0
2020-02-28,68.04,69.34,67.53,69.27,69.27,5167164.0,0.0,1.0
2020-02-27,71.52,72.6,69.83,69.89,69.89,3146174.0,0.0,1.0
2020-02-26,72.9,74.075,72.18,72.41,72.41,2981590.0,0.0,1.0
2020-02-25,73.92,73.99,72.19,72.41,72.41,3071348.0,0.0,1.0
2020-02-24,74.41,75.82,73.37,73.38,73.38,2780137.0,0.0,1.0
2020-02-21,76.47,76.76,75.71,76.07,76.07,1992209.0,0.0,1.0
2020-02-20,76.79,77.02,75.76,76.71,76.71,1555973.0,0.0,1.0
2020-02-19,76.94,77.27,76.34,76.76,76.76,1880240.0,0.0,1.0
2020-02-18,77.12,77.8,76.67,76.78,76.78,1910011.0,0.0,1.0
2020-02-14,76.34,77.26,76.19,77.07,77.07,3081393.0,0.0,1.0
2020-02-13,76.12,76.92,75.91,76.49,76.49,2038296.0,0.0,1.0
2020-02-12,80.515,80.515,76.36,76.68,76.68,2907231.0,0.0,1.0
2020-02-11,80.0,80.55,79.2,80.23,80.23,3098988.0,0.0,1.0
2020-02-10,78.47,79.67,78.1,79.62,79.62,1686204.0,0.0,1.0
2020-02-07,78.79,79.49,78.52,78.93,78.93,1137107.0,0.0,1.0
2020-02-06,78.79,79.93,78.54,78.95,78.95,2311738.0,0.0,1.0
2020-02-05,76.99,80.9,75.75,78.595,78.595,6326573.0,0.0,1.0
2020-02-04,74.03,74.96,73.71,74.22,74.22,2209038.0,0.0,1.0
2020-02-03,72.24,73.31,72.05,73.17,73.17,2504586.0,0.0,1.0
2020-01-31,72.7,73.07,71.46,71.83,71.83,1414467.0,0.0,1.0
2020-01-30,71.91,72.8175,71.36,72.78,72.78,1270634.0,0.0,1.0
2020-01-29,73.6,73.6,72.24,72.28,72.28,1788006.0,0.0,1.0
2020-01-28,73.77,74.22,73.35,73.5,73.5,1678695.0,0.0,1.0
2020-01-27,73.38,74.27,73.16,73.41,73.41,1311105.0,0.0,1.0
2020-01-24,75.6,75.6,74.14,74.46,74.46,957441.0,0.0,1.0
2020-01-23,75.37,75.76,74.54,75.68,75.68,1371741.0,0.0,1.0
2020-01-22,75.96,76.32,75.47,75.52,75.52,1368578.0,0.0,1.0
2020-01-21,75.46,75.97,75.31,75.81,75.81,1348740.0,0.0,1.0
2020-01-17,75.87,75.94,75.28,75.86,75.86,1285274.0,0.0,1.0
2020-01-16,74.8,75.81,74.34,75.58,75.58,1519761.0,0.0,1.0
2020-01-15,73.69,75.19,72.85,74.69,74.69,1542282.0,0.0,1.0
2020-01-14,72.97,74.24,72.75,74.21,74.21,1546983.0,0.0,1.0
2020-01-13,73.48,73.89,72.76,73.07,73.07,2008790.0,0.0,1.0
2020-01-10,74.01,74.09,73.275,73.48,73.48,1214593.0,0.0,1.0
2020-01-09,73.8,74.3,73.0,73.76,73.76,1624862.0,0.0,1.0
2020-01-08,73.24,73.83,73.04,73.445,73.445,1920948.0,0.0,1.0
2020-01-07,73.76,73.76,72.98,73.02,73.02,957113.0,0.0,1.0
2020-01-06,73.36,74.05,73.2,73.99,73.99,1617090.0,0.0,1.0
2020-01-03,72.82,73.88,72.81,73.83,73.83,1451600.0,0.0,1.0
2020-01-02,73.45,73.69,72.81,73.62,73.62,2393503.0,0.0,1.0
2019-12-31,72.93,73.51,72.6,73.39,73.39,1110830.0,0.0,1.0
2019-12-30,73.28,73.44,72.95,73.11,73.11,1278343.0,0.0,1.0
2019-12-27,73.28,73.525,72.87,73.28,73.28,726980.0,0.0,1.0
2019-12-26,73.27,73.42,72.71,73.02,73.02,653639.0,0.18,1.0
2019-12-24,73.41,73.42,73.04,73.29,73.1098,281853.0,0.0,1.0
2019-12-23,73.34,74.1,73.225,73.44,73.2594,1009482.0,0.0,1.0
2019-12-20,72.02,73.3,71.58,73.26,73.0799,4636441.0,0.0,1.0
2019-12-19,72.07,72.13,71.44,71.96,71.783,1266750.0,0.0,1.0
2019-12-18,71.74,72.39,71.5238,72.16,71.9826,1932165.0,0.0,1.0
