date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-03-06,38.0,39.95,37.8,39.68,39.68,48605591.0,0.0,1.0
2020-03-05,40.17,40.51,39.29,39.57,39.57,30255898.0,0.0,1.0
2020-03-04,40.72,41.45,39.8,41.39,41.39,30022089.0,0.0,1.0
2020-03-03,41.233,41.9,39.71,40.04,40.04,49294737.0,0.0,1.0
2020-03-02,40.26,41.19,38.92,41.17,41.17,48864271.0,0.0,1.0
2020-02-28,38.7,40.55,38.35,39.93,39.93,80193996.0,0.0,1.0
2020-02-27,41.28,42.095,40.01,40.04,40.04,51442851.0,0.0,1.0
2020-02-26,42.97,43.3775,41.94,42.16,42.16,38528925.0,0.0,1.0
2020-02-25,44.05,44.21,42.07,42.74,42.74,48024747.0,0.0,1.0
2020-02-24,45.0,45.68,44.0,44.0,44.0,35295921.0,0.0,1.0
2020-02-21,46.73,46.85,46.05,46.295,46.295,20031423.0,0.0,1.0
2020-02-20,46.09,46.96,45.9,46.85,46.85,20416659.0,0.0,1.0
2020-02-19,46.69,46.81,45.9,46.29,46.29,27626380.0,0.0,1.0
2020-02-18,46.82,46.85,46.29,46.59,46.59,18550358.0,0.0,1.0
2020-02-14,47.16,47.22,46.48,46.97,46.97,26747248.0,0.0,1.0
2020-02-13,47.15,47.67,46.58,47.32,47.32,47044716.0,0.0,1.0
2020-02-12,49.43,50.28,49.4,49.93,49.93,31686166.0,0.0,1.0
2020-02-11,49.39,49.714,48.8646,49.13,49.13,23168267.0,0.0,1.0
2020-02-10,47.99,48.89,47.88,48.87,48.87,19012716.0,0.0,1.0
2020-02-07,48.6,48.77,47.87,47.97,47.97,16807738.0,0.0,1.0
2020-02-06,48.69,48.82,48.22,48.69,48.69,9814844.0,0.0,1.0
2020-02-05,48.33,48.6,48.15,48.45,48.45,17042331.0,0.0,1.0
2020-02-04,47.22,47.7074,47.11,47.62,47.62,13947268.0,0.0,1.0
2020-02-03,46.4,46.825,46.21,46.53,46.53,15383527.0,0.0,1.0
2020-01-31,46.99,47.0,45.84,45.97,45.97,20069931.0,0.0,1.0
2020-01-30,46.54,47.27,46.26,47.24,47.24,14822581.0,0.0,1.0
2020-01-29,47.97,47.98,46.93,47.05,47.05,14289781.0,0.0,1.0
2020-01-28,47.52,47.965,47.5033,47.77,47.77,14035052.0,0.0,1.0
2020-01-27,47.89,48.07,47.27,47.47,47.47,20665994.0,0.0,1.0
2020-01-24,49.22,49.48,48.5433,48.85,48.85,14066913.0,0.0,1.0
2020-01-23,49.0,49.175,48.413,49.0,49.0,16767687.0,0.0,1.0
2020-01-22,49.28,49.53,49.04,49.06,49.06,15185991.0,0.0,1.0
2020-01-21,48.96,49.2,48.67,48.8,48.8,21271307.0,0.0,1.0
2020-01-17,49.31,49.54,48.87,49.02,49.02,27176174.0,0.0,1.0
2020-01-16,48.38,49.08,48.23,49.05,49.05,20094931.0,0.0,1.0
2020-01-15,47.92,48.395,47.7649,48.01,48.01,16289443.0,0.0,1.0
2020-01-14,47.96,47.99,47.62,47.79,47.79,17951758.0,0.0,1.0
2020-01-13,47.31,47.98,47.299,47.97,47.97,18152040.0,0.0,1.0
2020-01-10,47.48,47.56,47.06,47.13,47.13,13504600.0,0.0,1.0
2020-01-09,47.79,47.88,47.07,47.32,47.32,18211200.0,0.0,1.0
2020-01-08,46.97,47.785,46.81,47.52,47.52,25181655.0,0.0,1.0
2020-01-07,47.72,47.72,47.1,47.49,47.49,16566640.0,0.0,1.0
2020-01-06,47.14,47.82,47.01,47.8,47.8,22185267.0,0.0,1.0
2020-01-03,47.91,48.135,47.48,47.63,47.63,15587707.0,0.0,1.0
2020-01-02,48.06,48.42,47.88,48.42,48.42,16710076.0,0.35,1.0
2019-12-31,47.54,47.98,47.41,47.96,47.6158,14894735.0,0.0,1.0
2019-12-30,47.75,47.88,47.29,47.59,47.2485,12129049.0,0.0,1.0
2019-12-27,47.99,48.05,47.68,47.77,47.4272,11058982.0,0.0,1.0
2019-12-26,47.78,48.0,47.65,47.85,47.5066,11122017.0,0.0,1.0
2019-12-24,48.16,48.245,47.65,47.78,47.4371,7044728.0,0.0,1.0
2019-12-23,47.55,48.3,47.422,48.1,47.7548,20255224.0,0.0,1.0
2019-12-20,48.25,48.37,47.42,47.45,47.1095,52583716.0,0.0,1.0
2019-12-19,47.15,47.99,47.11,47.88,47.5364,30768601.0,0.0,1.0
2019-12-18,46.52,46.755,46.25,46.64,46.3053,21928065.0,0.0,1.0
2019-12-17,46.22,46.52,45.93,46.44,46.1067,22510487.0,0.0,1.0
2019-12-16,45.8,46.59,45.8,45.98,45.65,21875699.0,0.0,1.0
2019-12-13,45.91,46.05,45.2,45.3,44.9749,21801583.0,0.0,1.0
2019-12-12,44.545,45.77,44.41,45.67,45.3422,27073511.0,0.0,1.0
2019-12-11,44.36,44.45,44.15,44.28,43.9622,16451397.0,0.0,1.0
2019-12-10,43.85,44.18,43.8,44.1,43.7835,21863861.0,0.0,1.0
2019-12-09,43.89,44.37,43.75,43.9,43.5849,17659772.0,0.0,1.0
2019-12-06,43.89,44.06,43.65,43.84,43.5254,16544118.0,0.0,1.0
2019-12-05,44.05,44.1,43.4,43.52,43.2077,22637277.0,0.0,1.0
2019-12-04,44.52,44.55,43.86,43.89,43.575,17206915.0,0.0,1.0
2019-12-03,44.4,44.49,43.74,44.28,43.9622,20331665.0,0.0,1.0
2019-12-02,45.25,45.33,44.67,44.7,44.3792,17647593.0,0.0,1.0
2019-11-29,45.24,45.54,45.15,45.31,44.9848,9808886.0,0.0,1.0
2019-11-27,45.36,45.415,44.9259,45.24,44.9153,14895009.0,0.0,1.0
2019-11-26,45.53,45.77,45.25,45.31,44.9848,29424782.0,0.0,1.0
2019-11-25,45.0,45.55,44.93,45.45,45.1238,19654604.0,0.0,1.0
2019-11-22,45.15,45.17,44.69,44.85,44.5281,18725691.0,0.0,1.0
2019-11-21,45.13,45.15,44.69,44.84,44.5182,19868780.0,0.0,1.0
2019-11-20,45.69,45.74,44.93,45.08,44.7565,18668523.0,0.0,1.0
2019-11-19,45.39,45.595,45.08,45.47,45.1437,19619578.0,0.0,1.0
2019-11-18,44.98,45.19,44.44,45.15,44.826,22746710.0,0.0,1.0
2019-11-15,45.07,45.65,44.81,45.09,44.7664,32387644.0,0.0,1.0
2019-11-14,45.56,46.0,44.6,44.91,44.5877,65609855.0,0.0,1.0
2019-11-13,48.24,48.85,48.15,48.46,48.1122,27250239.0,0.0,1.0
2019-11-12,48.29,48.74,48.12,48.37,48.0229,15641771.0,0.0,1.0
2019-11-11,48.01,48.47,47.56,48.1,47.7548,19595430.0,0.0,1.0
2019-11-08,48.42,48.85,48.05,48.83,48.4796,14414055.0,0.0,1.0
2019-11-07,48.61,48.98,48.2,48.42,48.0725,16717751.0,0.0,1.0
2019-11-06,47.81,48.5,47.785,48.27,47.9236,15904472.0,0.0,1.0
2019-11-05,47.59,47.92,47.26,47.76,47.4172,18988936.0,0.0,1.0
2019-11-04,47.5,47.875,47.32,47.48,47.1393,15018913.0,0.0,1.0
2019-11-01,46.85,47.485,46.64,47.03,46.6925,24404134.0,0.0,1.0
2019-10-31,47.6,47.65,47.1,47.51,47.169,12488292.0,0.0,1.0
2019-10-30,47.3,47.58,47.16,47.56,47.2187,12062028.0,0.0,1.0
2019-10-29,47.0,47.4261,46.91,47.24,46.901,13713939.0,0.0,1.0
