date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-03-06,65.94,68.83,65.72,68.25,68.25,5189534.0,0.0,1.0
2020-03-05,69.93,70.58,68.63,68.96,68.96,4894744.0,0.0,1.0
2020-03-04,69.6683,72.24,69.38,72.0,72.0,5576336.0,0.0,1.0
2020-03-03,70.23,73.04,68.55,68.91,68.91,8122384.0,0.0,1.0
2020-03-02,70.32,71.41,68.98,70.75,70.75,10651337.0,0.0,1.0
2020-02-28,70.08,70.96,68.42,70.45,70.45,11539037.0,0.0,1.0
2020-02-27,73.66,75.44,72.18,72.27,72.27,8697176.0,0.26,1.0
2020-02-26,76.13,76.74,74.73,75.31,75.04,6862669.0,0.0,1.0
2020-02-25,78.13,78.64,75.4,75.57,75.2991,8901125.0,0.0,1.0
2020-02-24,77.97,78.59,77.6,78.06,77.7802,7515927.0,0.0,1.0
2020-02-21,79.89,80.44,79.46,79.56,79.2748,3853566.0,0.0,1.0
2020-02-20,80.08,80.62,79.6,80.45,80.1616,2241944.0,0.0,1.0
2020-02-19,79.8,80.25,79.6,80.17,79.8826,2251772.0,0.0,1.0
2020-02-18,79.36,80.09,78.98,79.51,79.225,2735055.0,0.0,1.0
2020-02-14,79.67,79.95,79.14,79.59,79.3047,2341693.0,0.0,1.0
2020-02-13,79.3,79.97,78.9,79.84,79.5538,2443786.0,0.0,1.0
2020-02-12,79.09,79.5,78.46,79.485,79.2001,2761611.0,0.0,1.0
2020-02-11,78.97,79.445,78.405,78.52,78.2385,2978409.0,0.0,1.0
2020-02-10,77.39,78.91,77.3101,78.88,78.5972,3284554.0,0.0,1.0
2020-02-07,78.92,79.19,77.6668,77.87,77.5909,3097688.0,0.0,1.0
2020-02-06,78.52,78.65,77.79,78.32,78.0392,2262101.0,0.0,1.0
2020-02-05,78.81,78.81,77.895,78.17,77.8898,3599047.0,0.0,1.0
2020-02-04,78.25,78.55,77.55,77.77,77.4912,2937824.0,0.0,1.0
2020-02-03,77.18,77.59,76.67,77.1,76.8236,3439678.0,0.0,1.0
2020-01-31,77.28,77.37,75.875,76.34,76.0663,4648987.0,0.0,1.0
2020-01-30,76.41,77.845,76.35,77.78,77.5012,3225793.0,0.0,1.0
2020-01-29,76.73,78.4,76.5,77.53,77.2521,4944568.0,0.0,1.0
2020-01-28,75.72,76.63,75.3,76.22,75.9468,3653356.0,0.0,1.0
2020-01-27,75.0,75.83,74.61,75.17,74.9005,3677943.0,0.0,1.0
2020-01-24,76.68,77.04,76.04,76.7,76.4251,3604050.0,0.0,1.0
2020-01-23,74.54,76.72,73.94,76.64,76.3653,4368600.0,0.0,1.0
2020-01-22,75.12,75.19,74.225,74.61,74.3425,4259913.0,0.0,1.0
2020-01-21,75.72,76.06,74.65,74.83,74.5618,4909823.0,0.0,1.0
2020-01-17,75.5,77.19,75.19,76.4,76.1261,10446824.0,0.0,1.0
2020-01-16,75.65,76.85,75.65,76.74,76.4649,7035542.0,0.0,1.0
2020-01-15,74.51,75.58,74.38,74.99,74.7212,4785190.0,0.0,1.0
2020-01-14,74.48,75.32,74.21,74.66,74.3924,3083345.0,0.0,1.0
2020-01-13,73.37,74.765,73.15,74.69,74.4223,3639716.0,0.0,1.0
2020-01-10,73.72,73.8598,73.265,73.36,73.097,2036527.0,0.0,1.0
2020-01-09,73.4,73.75,73.22,73.74,73.4757,2154302.0,0.0,1.0
