date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-03-06,57.75,58.85,57.01,58.24,58.24,5364392.0,0.0,1.0
2020-03-05,60.47,61.26,59.35,59.93,59.93,3893348.0,0.0,1.0
2020-03-04,60.76,62.19,59.35,62.17,62.17,3244159.0,0.0,1.0
2020-03-03,60.92,62.88,58.87,59.61,59.61,5118143.0,0.0,1.0
2020-03-02,60.595,61.35,58.82,61.33,61.33,5676996.0,0.0,1.0
2020-02-28,60.59,61.65,59.46,60.93,60.93,7873500.0,0.0,1.0
2020-02-27,62.25,63.85,61.3,62.32,62.32,5326656.0,0.0,1.0
2020-02-26,65.11,65.89,63.26,63.28,63.28,5205523.0,0.0,1.0
2020-02-25,67.56,68.0,64.33,64.48,64.48,4976869.0,0.0,1.0
2020-02-24,68.92,69.88,67.39,67.42,67.42,4557343.0,0.0,1.0
2020-02-21,69.13,70.2887,68.8,70.09,70.09,4787080.0,0.0,1.0
2020-02-20,68.56,69.74,68.18,69.56,69.56,3641265.0,0.0,1.0
2020-02-19,68.37,69.24,67.91,68.875,68.875,3612999.0,0.0,1.0
2020-02-18,68.34,69.22,68.04,68.83,68.83,3218156.0,0.0,1.0
2020-02-14,69.27,69.405,67.8,68.42,68.42,4148284.0,0.22,1.0
2020-02-13,69.26,69.7,68.96,69.61,69.3869,2827030.0,0.0,1.0
2020-02-12,69.53,69.67,69.045,69.43,69.2075,2629760.0,0.0,1.0
2020-02-11,69.46,69.46,68.76,69.2,68.9782,3035963.0,0.0,1.0
2020-02-10,68.89,69.47,68.59,69.38,69.1576,3076963.0,0.0,1.0
2020-02-07,70.58,70.99,68.55,69.59,69.367,7927052.0,0.0,1.0
2020-02-06,67.05,71.48,66.97,71.42,71.1911,7789888.0,0.0,1.0
2020-02-05,64.59,65.17,64.23,64.97,64.7618,3815490.0,0.0,1.0
2020-02-04,63.35,63.9,63.0,63.43,63.2267,2793093.0,0.0,1.0
2020-02-03,61.85,62.905,61.57,62.61,62.4093,3646750.0,0.0,1.0
2020-01-31,62.23,62.34,60.85,61.38,61.1833,3340681.0,0.0,1.0
2020-01-30,62.17,62.52,61.3,62.47,62.2698,2428897.0,0.0,1.0
2020-01-29,62.84,63.38,62.59,62.92,62.7183,3416121.0,0.0,1.0
2020-01-28,61.96,62.875,61.57,62.6,62.3994,2683112.0,0.0,1.0
2020-01-27,61.83,62.085,61.29,61.77,61.572,3309783.0,0.0,1.0
2020-01-24,62.78,63.15,61.985,62.42,62.2199,2631179.0,0.0,1.0
2020-01-23,62.02,62.58,61.85,62.55,62.3495,3048138.0,0.0,1.0
2020-01-22,62.6,62.92,61.83,62.19,61.9907,3534516.0,0.0,1.0
2020-01-21,62.4,62.73,61.94,62.29,62.0904,3823608.0,0.0,1.0
2020-01-17,62.56,62.93,62.32,62.77,62.5688,4046038.0,0.0,1.0
2020-01-16,62.02,62.56,61.86,62.45,62.2498,3048685.0,0.0,1.0
2020-01-15,61.42,62.0,61.42,61.85,61.6518,2613378.0,0.0,1.0
2020-01-14,61.09,61.7094,60.97,61.37,61.1733,3066835.0,0.0,1.0
2020-01-13,60.49,61.27,60.21,61.16,60.964,2781997.0,0.0,1.0
2020-01-10,61.38,61.38,60.445,60.64,60.4456,2538310.0,0.0,1.0
2020-01-09,61.5,61.99,60.75,61.11,60.9141,4049193.0,0.0,1.0
2020-01-08,60.41,60.86,60.22,60.73,60.5354,2912095.0,0.0,1.0
2020-01-07,60.67,60.694,59.98,60.32,60.1267,2953345.0,0.0,1.0
2020-01-06,61.04,61.3,60.35,60.745,60.5503,3017038.0,0.0,1.0
2020-01-03,61.08,61.54,60.89,61.36,61.1633,2535670.0,0.0,1.0
2020-01-02,62.29,62.46,61.68,61.92,61.7215,2234530.0,0.0,1.0
2019-12-31,61.54,62.07,61.47,62.02,61.8212,2035840.0,0.0,1.0
2019-12-30,62.15,62.23,61.39,61.65,61.4524,1607599.0,0.0,1.0
2019-12-27,62.49,62.84,62.01,62.16,61.9608,1507771.0,0.0,1.0
