date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-03-06,112.24,120.13,112.1,117.91,117.91,4220938.0,0.0,1.0
2020-03-05,107.51,117.37,107.51,116.46,116.46,4652271.0,0.35,1.0
2020-03-04,107.86,110.13,107.25,110.13,109.8,2649260.0,0.0,1.0
2020-03-03,108.17,109.42,105.06,106.4,106.0812,2596231.0,0.0,1.0
2020-03-02,104.06,108.97,103.79,108.78,108.4541,3897068.0,0.0,1.0
2020-02-28,100.7,103.47,100.31,103.39,103.0802,4823412.0,0.0,1.0
2020-02-27,105.05,107.04,102.91,102.97,102.6615,2536859.0,0.0,1.0
2020-02-26,109.68,110.39,106.405,106.8,106.48,1676184.0,0.0,1.0
2020-02-25,112.08,112.4,108.36,108.65,108.3244,2277755.0,0.0,1.0
2020-02-24,114.13,114.89,111.84,111.94,111.6046,2128174.0,0.0,1.0
2020-02-21,119.01,119.92,115.84,116.08,115.7322,1739983.0,0.0,1.0
2020-02-20,122.14,122.52,118.91,119.57,119.2117,1384700.0,0.0,1.0
2020-02-19,123.64,124.49,122.1,122.25,121.8837,1273113.0,0.0,1.0
2020-02-18,121.94,123.54,121.84,123.51,123.1399,1915089.0,0.0,1.0
2020-02-14,122.88,123.45,121.7523,122.03,121.6644,1257241.0,0.0,1.0
2020-02-13,121.59,123.43,121.59,123.0,122.6315,867894.0,0.0,1.0
2020-02-12,122.18,122.59,121.34,122.04,121.6743,1036009.0,0.0,1.0
2020-02-11,122.41,122.62,121.39,121.62,121.2556,1006311.0,0.0,1.0
2020-02-10,120.94,121.87,120.2948,121.82,121.455,1618884.0,0.0,1.0
2020-02-07,121.9,122.54,120.86,121.08,120.7172,1014876.0,0.0,1.0
2020-02-06,123.2,123.83,121.75,122.23,121.8638,1305516.0,0.0,1.0
2020-02-05,123.67,124.12,122.26,122.75,122.3822,1882524.0,0.0,1.0
2020-02-04,122.93,124.11,122.67,123.49,123.12,1698659.0,0.0,1.0
2020-02-03,121.09,123.29,121.09,122.67,122.3024,1373348.0,0.0,1.0
2020-01-31,123.55,123.775,120.69,121.22,120.8568,2397782.0,0.0,1.0
2020-01-30,122.44,123.4,121.62,122.54,122.1728,1541155.0,0.0,1.0
2020-01-29,126.07,126.07,122.88,123.01,122.6414,1570472.0,0.0,1.0
2020-01-28,126.55,127.2,125.21,125.55,125.1738,1530548.0,0.0,1.0
2020-01-27,127.33,128.24,126.75,126.9,126.5198,1312320.0,0.0,1.0
2020-01-24,128.44,129.26,126.76,128.26,127.8757,2063803.0,0.0,1.0
2020-01-23,123.09,130.55,122.2,128.48,128.095,4300853.0,0.0,1.0
2020-01-22,118.02,119.62,118.02,119.23,118.8727,1948145.0,0.0,1.0
2020-01-21,116.7,118.15,116.7,117.85,117.4969,1434203.0,0.0,1.0
2020-01-17,117.15,117.29,116.085,117.22,116.8688,1416439.0,0.0,1.0
2020-01-16,115.7,117.47,115.7,116.88,116.5298,796029.0,0.0,1.0
2020-01-15,114.89,116.14,114.31,115.31,114.9645,892093.0,0.0,1.0
2020-01-14,115.0,115.39,114.39,114.96,114.6155,895115.0,0.0,1.0
2020-01-13,114.21,115.51,112.29,115.14,114.795,1543668.0,0.0,1.0
2020-01-10,114.63,114.805,113.46,113.74,113.3992,964591.0,0.0,1.0
2020-01-09,113.99,114.37,113.51,114.05,113.7083,1606078.0,0.0,1.0
2020-01-08,112.63,114.025,112.61,113.76,113.4191,1261607.0,0.0,1.0
2020-01-07,112.51,113.43,112.22,112.41,112.0732,933693.0,0.0,1.0
2020-01-06,111.32,113.06,111.32,113.01,112.6714,1046672.0,0.0,1.0
2020-01-03,110.57,111.97,110.36,111.82,111.485,1107030.0,0.0,1.0
2020-01-02,111.59,111.99,111.06,111.67,111.3354,1352558.0,0.0,1.0
2019-12-31,110.06,110.97,110.06,110.9,110.5677,655235.0,0.0,1.0
2019-12-30,110.95,111.315,110.27,110.36,110.0293,599405.0,0.0,1.0
2019-12-27,111.04,111.57,110.41,110.79,110.458,698582.0,0.0,1.0
2019-12-26,110.9,111.36,110.76,111.26,110.9266,597296.0,0.0,1.0
