date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-03-06,35.71,36.79,35.585,36.39,36.39,12849857.0,0.0,1.0
2020-03-05,37.48,38.215,37.07,37.22,37.22,11816775.0,0.0,1.0
2020-03-04,37.32,38.54,37.14,38.49,38.49,13445437.0,0.0,1.0
2020-03-03,35.73,37.42,35.66,36.72,36.72,18838655.0,0.0,1.0
2020-03-02,34.62,35.965,34.275,35.96,35.96,13131255.0,0.0,1.0
2020-02-28,34.09,34.77,33.71,34.64,34.64,16824887.0,0.16,1.0
2020-02-27,36.15,36.45,35.01,35.04,34.8789,16142639.0,0.0,1.0
2020-02-26,36.81,37.18,36.4202,36.69,36.5213,11918253.0,0.0,1.0
2020-02-25,37.31,37.625,36.39,36.46,36.2924,15856600.0,0.0,1.0
2020-02-24,37.63,37.87,36.97,37.26,37.0887,18961746.0,0.0,1.0
2020-02-21,37.34,38.94,37.15,38.2,38.0244,14697287.0,0.0,1.0
2020-02-20,37.34,37.87,37.215,37.69,37.5167,8940335.0,0.0,1.0
2020-02-19,38.03,38.05,37.52,37.53,37.3574,7598473.0,0.0,1.0
2020-02-18,38.28,38.63,37.76,37.87,37.6959,15224169.0,0.0,1.0
2020-02-14,37.57,38.225,37.31,38.14,37.9646,10998700.0,0.0,1.0
2020-02-13,37.05,37.27,36.7,37.19,37.019,7317878.0,0.0,1.0
2020-02-12,36.64,37.5,36.61,37.15,36.9792,11499278.0,0.0,1.0
2020-02-11,36.2,36.675,36.06,36.435,36.2675,9380297.0,0.0,1.0
2020-02-10,36.18,36.23,35.49,36.02,35.8544,11638086.0,0.0,1.0
2020-02-07,35.83,36.87,35.8,36.2,36.0336,18990660.0,0.0,1.0
2020-02-06,37.73,39.04,37.53,38.0,37.8253,24981566.0,0.0,1.0
2020-02-05,36.86,37.45,36.6102,37.125,36.9543,25896732.0,0.0,1.0
2020-02-04,35.1,39.25,34.33,37.41,37.238,46298187.0,0.0,1.0
2020-02-03,33.75,34.53,33.71,34.39,34.2319,14939947.0,0.0,1.0
2020-01-31,34.86,35.03,33.53,33.56,33.4057,18541265.0,0.0,1.0
2020-01-30,34.36,35.14,34.25,35.06,34.8988,12420060.0,0.0,1.0
2020-01-29,35.055,35.53,34.345,34.58,34.421,21463618.0,0.0,1.0
2020-01-28,35.61,36.45,35.485,36.21,36.0435,15161775.0,0.0,1.0
2020-01-27,34.79,35.74,34.75,35.48,35.3169,10529174.0,0.0,1.0
2020-01-24,35.79,35.79,35.1,35.36,35.1974,9243579.0,0.0,1.0
2020-01-23,35.82,35.98,35.545,35.61,35.4463,7980240.0,0.0,1.0
2020-01-22,35.81,36.07,35.625,35.89,35.725,8023517.0,0.0,1.0
2020-01-21,35.6,35.86,35.47,35.72,35.5558,6645937.0,0.0,1.0
2020-01-17,35.32,35.9,35.28,35.82,35.6553,12082467.0,0.0,1.0
2020-01-16,35.39,35.995,35.27,35.92,35.7549,6955922.0,0.0,1.0
2020-01-15,35.43,35.72,35.045,35.33,35.1676,10966043.0,0.0,1.0
2020-01-14,34.67,35.37,34.51,35.35,35.1875,7227472.0,0.0,1.0
2020-01-13,34.85,34.89,34.56,34.73,34.5703,7959768.0,0.0,1.0
2020-01-10,35.21,35.23,34.79,34.89,34.7296,5664374.0,0.0,1.0
2020-01-09,35.14,35.45,34.97,35.18,35.0183,10787739.0,0.0,1.0
2020-01-08,35.71,36.08,35.57,35.595,35.4313,6072582.0,0.0,1.0
2020-01-07,35.67,35.7,35.35,35.62,35.4562,6868280.0,0.0,1.0
2020-01-06,35.78,35.82,35.46,35.78,35.6155,5866016.0,0.0,1.0
2020-01-03,35.92,36.1,35.78,35.96,35.7947,3960887.0,0.0,1.0
2020-01-02,36.41,36.5,36.14,36.3,36.1331,4979348.0,0.0,1.0
2019-12-31,35.81,36.12,35.54,36.11,35.944,7437718.0,0.0,1.0
2019-12-30,36.17,36.21,35.705,35.795,35.6304,6535824.0,0.0,1.0
2019-12-27,36.39,36.404,35.995,36.07,35.9042,6606893.0,0.0,1.0
2019-12-26,36.35,36.52,36.185,36.25,36.0833,4082735.0,0.0,1.0
2019-12-24,36.21,36.285,36.095,36.21,36.0435,2129229.0,0.0,1.0
2019-12-23,36.22,36.4876,36.17,36.21,36.0435,5397941.0,0.0,1.0
2019-12-20,36.02,36.34,35.92,36.19,36.0236,17421648.0,0.0,1.0
2019-12-19,35.52,36.12,35.52,36.04,35.8743,7660208.0,0.0,1.0
2019-12-18,35.84,35.92,35.33,35.635,35.4712,12129157.0,0.0,1.0
2019-12-17,35.44,35.95,35.27,35.9,35.7349,13049151.0,0.0,1.0
2019-12-16,35.57,35.765,35.39,35.4,35.2372,7241116.0,0.0,1.0
2019-12-13,35.36,35.77,35.255,35.48,35.3169,6952181.0,0.0,1.0
2019-12-12,34.86,35.46,34.86,35.31,35.1477,5800325.0,0.0,1.0
2019-12-11,34.7,34.99,34.68,34.92,34.7594,7420758.0,0.0,1.0
2019-12-10,34.67,35.0,34.66,34.72,34.5604,6291143.0,0.0,1.0
2019-12-09,34.85,34.92,34.56,34.57,34.4111,7837303.0,0.0,1.0
2019-12-06,35.13,35.22,34.83,34.86,34.6997,6547894.0,0.0,1.0
2019-12-05,34.94,35.09,34.77,34.79,34.63,8119382.0,0.0,1.0
2019-12-04,34.81,35.235,34.81,34.97,34.8092,7518066.0,0.0,1.0
2019-12-03,34.6,34.9099,34.4602,34.75,34.5902,7318011.0,0.0,1.0
2019-12-02,35.45,35.62,34.81,34.9,34.7395,10174590.0,0.0,1.0
2019-11-29,35.69,35.855,35.455,35.52,35.3567,3128855.0,0.14,1.0
2019-11-27,35.8,36.02,35.69,35.85,35.5451,7535829.0,0.0,1.0
2019-11-26,35.675,35.9,35.42,35.75,35.4459,8246489.0,0.0,1.0
2019-11-25,36.49,36.53,35.34,35.85,35.5451,14172563.0,0.0,1.0
2019-11-22,34.96,35.23,34.77,35.12,34.8213,6165853.0,0.0,1.0
2019-11-21,34.92,35.15,34.85,34.94,34.6428,5660379.0,0.0,1.0
2019-11-20,35.02,35.25,34.74,34.86,34.5635,9520393.0,0.0,1.0
2019-11-19,35.22,35.41,34.98,35.06,34.7618,5307077.0,0.0,1.0
2019-11-18,35.14,35.4,35.0,35.1,34.8015,7639316.0,0.0,1.0
2019-11-15,35.38,35.575,35.185,35.27,34.97,6301985.0,0.0,1.0
2019-11-14,34.56,35.095,34.52,34.96,34.6626,6029214.0,0.0,1.0
2019-11-13,34.85,34.93,34.541,34.64,34.3454,6247251.0,0.0,1.0
2019-11-12,35.29,35.3689,34.97,35.07,34.7717,6182621.0,0.0,1.0
2019-11-11,35.02,35.305,34.93,35.25,34.9502,3930645.0,0.0,1.0
2019-11-08,34.74,35.26,34.68,35.14,34.8411,10562742.0,0.0,1.0
2019-11-07,35.51,35.62,34.775,34.89,34.5932,10966158.0,0.0,1.0
2019-11-06,35.63,35.67,35.27,35.5,35.1981,9225831.0,0.0,1.0
2019-11-05,35.5,35.755,35.31,35.48,35.1782,6434748.0,0.0,1.0
2019-11-04,35.25,35.5151,35.21,35.41,35.1088,7120136.0,0.0,1.0
2019-11-01,35.5,35.59,35.09,35.25,34.9502,8236505.0,0.0,1.0
2019-10-31,35.69,35.86,35.13,35.25,34.9502,6921493.0,0.0,1.0
2019-10-30,36.15,36.19,35.69,35.86,35.555,5435336.0,0.0,1.0
2019-10-29,35.9,36.265,35.72,36.11,35.8029,8275441.0,0.0,1.0
2019-10-28,35.82,36.25,35.82,35.94,35.6343,7900988.0,0.0,1.0
2019-10-25,35.55,36.0,35.4001,35.84,35.5352,14034397.0,0.0,1.0
2019-10-24,35.77,36.65,35.19,35.62,35.317,19671708.0,0.0,1.0
2019-10-23,38.67,39.33,38.36,39.2,38.8666,7052283.0,0.0,1.0
2019-10-22,39.23,39.36,38.88,38.94,38.6088,5328739.0,0.0,1.0
2019-10-21,38.96,39.295,38.915,39.26,38.9261,4786884.0,0.0,1.0
2019-10-18,39.21,39.35,38.74,38.82,38.4898,6237252.0,0.0,1.0
2019-10-17,39.16,39.38,38.99,39.09,38.7575,5693739.0,0.0,1.0
2019-10-16,38.64,39.19,38.59,38.92,38.589,5319495.0,0.0,1.0
2019-10-15,38.37,39.04,38.35,38.88,38.5493,4813847.0,0.0,1.0
2019-10-14,38.54,38.63,38.34,38.36,38.0337,6924194.0,0.0,1.0
2019-10-11,38.43,38.99,38.43,38.55,38.2221,5067569.0,0.0,1.0
2019-10-10,37.77,38.26,37.76,37.93,37.6074,7762988.0,0.0,1.0
2019-10-09,37.62,38.0,37.52,37.85,37.5281,6812376.0,0.0,1.0
2019-10-08,37.47,37.725,37.23,37.32,37.0026,7170395.0,0.0,1.0
2019-10-07,38.04,38.1899,37.76,37.82,37.4983,6107767.0,0.0,1.0
2019-10-04,38.09,38.38,37.96,38.31,37.9841,4621488.0,0.0,1.0
2019-10-03,38.05,38.05,37.45,37.95,37.6272,7239521.0,0.0,1.0
2019-10-02,38.35,38.57,37.99,38.17,37.8453,6425347.0,0.0,1.0
2019-10-01,38.99,39.47,38.47,38.54,38.2122,6826745.0,0.0,1.0
2019-09-30,38.57,39.05,38.41,38.98,38.6485,6208030.0,0.0,1.0
2019-09-27,38.71,38.89,38.1,38.37,38.0436,10701092.0,0.0,1.0
2019-09-26,39.09,39.48,38.855,38.925,38.5939,7378772.0,0.0,1.0
2019-09-25,38.92,39.5,38.35,39.24,38.9062,12297111.0,0.0,1.0
2019-09-24,40.38,40.675,39.46,39.555,39.2186,7451831.0,0.0,1.0
2019-09-23,40.37,40.48,40.02,40.24,39.8977,5663563.0,0.0,1.0
2019-09-20,40.55,40.87,40.14,40.36,40.0167,12835199.0,0.0,1.0
2019-09-19,40.4,40.8,40.33,40.4,40.0564,4012018.0,0.0,1.0
2019-09-18,40.53,40.62,39.78,40.36,40.0167,4327600.0,0.0,1.0
2019-09-17,40.18,40.66,39.8345,40.53,40.1853,6383044.0,0.0,1.0
2019-09-16,39.75,40.39,39.67,40.3,39.9572,5754402.0,0.0,1.0
2019-09-13,40.41,40.8,40.21,40.37,40.0266,5438070.0,0.0,1.0
2019-09-12,40.16,40.54,39.95,40.29,39.9473,4927009.0,0.0,1.0
2019-09-11,40.18,40.26,39.675,39.9,39.5606,6195900.0,0.0,1.0
2019-09-10,41.05,41.19,40.03,40.27,39.9275,6707584.0,0.0,1.0
2019-09-09,40.53,41.41,40.4,41.4,41.0479,9029084.0,0.0,1.0
2019-09-06,40.94,41.08,40.34,40.37,40.0266,5724017.0,0.0,1.0
2019-09-05,40.02,40.86,39.94,40.8,40.453,7084035.0,0.0,1.0
2019-09-04,39.67,39.875,39.025,39.64,39.3028,7488684.0,0.0,1.0
2019-09-03,40.05,40.38,39.605,39.74,39.402,5513770.0,0.0,1.0
2019-08-30,40.73,40.74,40.18,40.29,39.9473,4472721.0,0.14,1.0
2019-08-29,40.51,40.81,40.28,40.53,40.0461,7188226.0,0.0,1.0
2019-08-28,38.87,40.26,38.78,40.09,39.6114,10707740.0,0.0,1.0
2019-08-27,39.51,39.755,38.71,39.0,38.5344,9124907.0,0.0,1.0
2019-08-26,39.14,39.42,38.9,39.4,38.9296,6570428.0,0.0,1.0
2019-08-23,39.78,39.79,38.55,38.7,38.238,7527036.0,0.0,1.0
2019-08-22,40.56,40.57,39.8,40.0,39.5224,4950325.0,0.0,1.0
2019-08-21,40.47,40.53,40.23,40.38,39.8979,5555363.0,0.0,1.0
2019-08-20,40.24,40.35,39.98,40.03,39.5521,5346847.0,0.0,1.0
2019-08-19,40.56,40.79,40.32,40.39,39.9078,6552088.0,0.0,1.0
2019-08-16,39.81,40.07,39.63,40.02,39.5422,4209567.0,0.0,1.0
2019-08-15,39.9,39.96,39.045,39.44,38.9691,6706491.0,0.0,1.0
2019-08-14,40.09,40.375,39.55,39.64,39.1667,7416406.0,0.0,1.0
2019-08-13,39.91,41.025,39.83,40.98,40.4907,5647647.0,0.0,1.0
2019-08-12,39.97,40.05,39.42,39.74,39.2655,4205152.0,0.0,1.0
2019-08-09,41.0,41.075,40.19,40.31,39.8287,6291080.0,0.0,1.0
2019-08-08,40.0,41.26,39.96,41.25,40.7575,6915770.0,0.0,1.0
2019-08-07,39.22,39.81,38.85,39.72,39.2458,5576542.0,0.0,1.0
2019-08-06,39.21,39.73,38.875,39.69,39.2161,8461717.0,0.0,1.0
2019-08-05,40.0,40.16,38.54,38.81,38.3466,7702842.0,0.0,1.0
