date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-03-06,44.01,45.37,43.56,45.17,45.17,9421638.0,0.0,1.0
2020-03-05,45.75,46.39,45.29,46.13,46.13,8488883.0,0.0,1.0
2020-03-04,44.61,46.865,44.51,46.82,46.82,8139821.0,0.0,1.0
2020-03-03,45.08,46.58,44.04,44.19,44.19,11652224.0,0.0,1.0
2020-03-02,43.19,45.44,42.9,45.43,45.43,9653778.0,0.0,1.0
2020-02-28,44.34,44.36,42.32,43.11,43.11,14879090.0,0.0,1.0
2020-02-27,47.11,47.14,45.12,45.14,45.14,8275434.0,0.0,1.0
2020-02-26,48.19,48.3,47.03,47.05,47.05,6901530.0,0.0,1.0
2020-02-25,48.77,48.875,47.51,47.63,47.63,7610224.0,0.0,1.0
2020-02-24,50.05,50.47,48.8,48.82,48.82,5989460.0,0.0,1.0
2020-02-21,49.84,50.044,49.65,49.72,49.72,7352332.0,0.0,1.0
2020-02-20,49.48,49.93,49.42,49.85,49.85,3745514.0,0.0,1.0
2020-02-19,49.83,50.0392,49.395,49.6,49.6,4023511.0,0.3825,1.0
2020-02-18,49.92,50.54,49.65,50.38,49.9945,5163076.0,0.0,1.0
2020-02-14,49.6,49.78,49.33,49.76,49.3792,3643068.0,0.0,1.0
2020-02-13,49.45,49.695,49.205,49.57,49.1907,5165541.0,0.0,1.0
2020-02-12,49.44,49.62,49.01,49.26,48.883,5279708.0,0.0,1.0
2020-02-11,48.31,49.465,48.31,49.34,48.9624,6187445.0,0.0,1.0
2020-02-10,48.29,48.36,48.055,48.31,47.9403,4227498.0,0.0,1.0
2020-02-07,48.37,48.58,48.15,48.19,47.8212,4831435.0,0.0,1.0
2020-02-06,48.35,48.57,48.2,48.26,47.8907,4162485.0,0.0,1.0
2020-02-05,48.01,48.44,47.82,48.33,47.9601,5062968.0,0.0,1.0
2020-02-04,48.11,48.51,47.89,48.09,47.722,6091442.0,0.0,1.0
2020-02-03,47.68,48.3,47.6,48.2,47.8311,6122899.0,0.0,1.0
2020-01-31,48.0,48.16,47.25,47.59,47.2258,6880671.0,0.0,1.0
2020-01-30,47.62,48.15,47.4,48.06,47.6922,5240488.0,0.0,1.0
2020-01-29,47.66,48.275,47.58,47.81,47.4441,6526332.0,0.0,1.0
2020-01-28,47.26,47.91,47.23,47.73,47.3647,5118538.0,0.0,1.0
2020-01-27,47.76,48.17,47.19,47.27,46.9083,5451092.0,0.0,1.0
2020-01-24,47.85,48.17,47.55,47.73,47.3647,4801223.0,0.0,1.0
2020-01-23,47.67,48.0,47.44,47.95,47.5831,6076021.0,0.0,1.0
2020-01-22,47.57,47.91,47.5,47.66,47.2953,8751545.0,0.0,1.0
2020-01-21,47.44,47.61,47.23,47.58,47.2159,5054033.0,0.0,1.0
2020-01-17,46.96,47.47,46.73,47.39,47.0273,7566295.0,0.0,1.0
2020-01-16,46.65,47.03,46.55,46.74,46.3823,5763883.0,0.0,1.0
2020-01-15,46.05,46.91,46.01,46.55,46.1938,5877284.0,0.0,1.0
2020-01-14,46.09,46.095,45.57,45.81,45.4594,6279667.0,0.0,1.0
2020-01-13,46.23,46.58,46.12,46.19,45.8365,5532758.0,0.0,1.0
2020-01-10,46.3,46.43,46.115,46.26,45.906,5738539.0,0.0,1.0
2020-01-09,45.92,46.19,45.58,46.15,45.7968,5320854.0,0.0,1.0
2020-01-08,45.68,46.18,45.625,46.005,45.6529,6139503.0,0.0,1.0
2020-01-07,45.53,45.69,45.12,45.68,45.3304,6777396.0,0.0,1.0
2020-01-06,45.54,45.76,45.39,45.635,45.2858,5551464.0,0.0,1.0
2020-01-03,45.33,45.765,45.32,45.57,45.2213,5385573.0,0.0,1.0
2020-01-02,45.78,45.78,45.25,45.43,45.0823,4888826.0,0.0,1.0
2019-12-31,45.39,45.64,45.18,45.59,45.2411,3691353.0,0.0,1.0
2019-12-30,45.4,45.71,45.24,45.38,45.0327,3621033.0,0.0,1.0
2019-12-27,45.4,45.53,45.15,45.41,45.0625,3493542.0,0.0,1.0
2019-12-26,45.19,45.515,45.135,45.32,44.9732,3432021.0,0.0,1.0
2019-12-24,45.28,45.44,45.09,45.32,44.9732,1960805.0,0.0,1.0
2019-12-23,45.45,45.59,44.84,45.2,44.8541,6660217.0,0.0,1.0
2019-12-20,45.35,45.73,44.98,45.45,45.1022,11962672.0,0.0,1.0
2019-12-19,45.26,45.3977,44.4,44.98,44.6358,9138667.0,0.0,1.0
2019-12-18,45.15,45.4,44.465,45.37,45.0228,6446267.0,0.0,1.0
2019-12-17,44.92,45.09,44.43,44.98,44.6358,7252828.0,0.0,1.0
2019-12-16,43.99,44.76,43.945,44.7,44.3579,7291862.0,0.0,1.0
2019-12-13,44.1,44.13,43.565,43.82,43.4847,7198817.0,0.0,1.0
2019-12-12,44.25,44.54,43.81,44.1,43.7625,6879129.0,0.0,1.0
2019-12-11,44.49,44.63,44.01,44.195,43.8568,5592455.0,0.0,1.0
2019-12-10,45.05,45.15,44.68,44.72,44.3778,5683602.0,0.0,1.0
2019-12-09,44.91,45.04,44.68,44.93,44.5862,3425429.0,0.0,1.0
2019-12-06,44.84,45.3,44.61,44.86,44.5167,4442782.0,0.0,1.0
2019-12-05,44.65,44.89,44.24,44.86,44.5167,5841061.0,0.0,1.0
2019-12-04,44.09,44.665,44.04,44.54,44.1991,5136342.0,0.0,1.0
2019-12-03,44.18,44.31,43.805,44.26,43.9213,7266044.0,0.0,1.0
2019-12-02,44.3,44.42,43.85,43.91,43.574,7091052.0,0.0,1.0
2019-11-29,44.33,44.62,44.2,44.4,44.0602,3903514.0,0.0,1.0
2019-11-27,44.1,44.33,43.82,44.27,43.9312,4185024.0,0.0,1.0
2019-11-26,44.1,44.25,43.81,44.01,43.6732,11003558.0,0.0,1.0
2019-11-25,44.43,44.6,44.11,44.17,43.832,8003403.0,0.0,1.0
2019-11-22,44.57,44.59,44.07,44.43,44.09,5850030.0,0.0,1.0
2019-11-21,45.2,45.36,44.26,44.39,44.0503,8430571.0,0.0,1.0
2019-11-20,45.2,45.44,44.53,45.36,45.0129,25359895.0,0.0,1.0
2019-11-19,45.51,45.84,45.26,45.37,45.0228,9678971.0,0.0,1.0
2019-11-18,45.18,45.6,44.97,45.41,45.0625,6322149.0,0.0,1.0
2019-11-15,44.8,45.035,44.51,45.02,44.6755,4607847.0,0.0,1.0
2019-11-14,44.12,44.66,44.02,44.63,44.2885,4798472.0,0.3625,1.0
2019-11-13,44.4,44.79,44.32,44.5,43.8037,4515987.0,0.0,1.0
2019-11-12,44.02,44.53,43.96,44.32,43.6265,4475892.0,0.0,1.0
2019-11-11,44.67,44.71,43.915,44.02,43.3312,3668192.0,0.0,1.0
2019-11-08,44.57,44.87,44.36,44.71,44.0104,4156716.0,0.0,1.0
2019-11-07,44.61,44.79,44.35,44.7,44.0005,4818394.0,0.0,1.0
2019-11-06,44.82,45.125,44.64,44.82,44.1187,6254659.0,0.0,1.0
2019-11-05,44.48,44.985,44.31,44.78,44.0793,7036880.0,0.0,1.0
2019-11-04,45.45,45.525,44.28,44.5,43.8037,6965433.0,0.0,1.0
2019-11-01,45.44,45.92,45.24,45.34,44.6305,5639392.0,0.0,1.0
2019-10-31,46.5,46.68,45.125,45.49,44.7782,8266893.0,0.0,1.0
2019-10-30,45.82,46.67,45.74,46.66,45.9299,7578278.0,0.0,1.0
2019-10-29,45.58,45.97,45.37,45.86,45.1424,5574929.0,0.0,1.0
2019-10-28,45.83,45.89,45.44,45.6,44.8865,6367541.0,0.0,1.0
2019-10-25,46.12,46.24,45.61,45.89,45.1719,6409170.0,0.0,1.0
2019-10-24,45.56,46.26,45.56,46.18,45.4574,6880195.0,0.0,1.0
2019-10-23,45.51,45.79,45.16,45.65,44.9357,8714396.0,0.0,1.0
2019-10-22,44.97,45.265,44.59,45.25,44.5419,8683914.0,0.0,1.0
2019-10-21,44.78,44.88,44.45,44.71,44.0104,7384723.0,0.0,1.0
2019-10-18,44.0,44.765,43.92,44.665,43.9661,20311108.0,0.0,1.0
2019-10-17,44.3,44.38,43.415,44.06,43.3706,19581502.0,0.0,1.0
2019-10-16,46.75,46.75,44.74,44.91,44.2073,11581451.0,0.0,1.0
2019-10-15,47.13,47.37,46.93,47.06,46.3236,3484568.0,0.0,1.0
2019-10-14,47.61,47.6591,46.9,47.105,46.3679,2668611.0,0.0,1.0
2019-10-11,47.55,47.94,47.435,47.51,46.7666,4412974.0,0.0,1.0
2019-10-10,47.68,47.725,47.09,47.42,46.678,4939511.0,0.0,1.0
2019-10-09,47.75,48.11,47.6,47.91,47.1603,3058461.0,0.0,1.0
2019-10-08,48.17,48.45,47.75,47.77,47.0225,4383417.0,0.0,1.0
2019-10-07,48.23,48.575,47.98,48.46,47.7017,4797066.0,0.0,1.0
2019-10-04,47.95,48.49,47.655,48.45,47.6919,3355982.0,0.0,1.0
2019-10-03,47.74,47.78,47.345,47.72,46.9733,5213465.0,0.0,1.0
2019-10-02,48.05,48.11,47.53,47.62,46.8748,4270985.0,0.0,1.0
2019-10-01,48.24,48.35,47.81,47.98,47.2292,5159389.0,0.0,1.0
2019-09-30,48.59,48.8,48.22,48.31,47.554,3896367.0,0.0,1.0
2019-09-27,49.23,49.23,48.28,48.58,47.8198,4642651.0,0.0,1.0
2019-09-26,49.05,49.315,48.77,49.18,48.4104,3835849.0,0.0,1.0
2019-09-25,48.79,49.045,48.48,49.01,48.2431,4524984.0,0.0,1.0
2019-09-24,48.54,49.02,48.47,48.8,48.0364,4976178.0,0.0,1.0
2019-09-23,48.28,48.42,48.07,48.31,47.554,5250413.0,0.0,1.0
2019-09-20,48.02,48.59,47.96,48.45,47.6919,10381007.0,0.0,1.0
2019-09-19,48.08,48.08,47.62,47.8,47.052,4196294.0,0.0,1.0
2019-09-18,47.52,48.02,47.48,47.94,47.1898,3864344.0,0.0,1.0
2019-09-17,47.29,47.65,47.07,47.29,46.55,5628919.0,0.0,1.0
2019-09-16,47.27,47.395,46.97,47.38,46.6386,4223145.0,0.0,1.0
2019-09-13,47.6,47.88,46.64,47.27,46.5303,8184138.0,0.0,1.0
2019-09-12,49.0,49.09,47.87,47.88,47.1308,7599689.0,0.0,1.0
2019-09-11,48.26,48.755,47.95,48.73,47.9675,3617338.0,0.0,1.0
2019-09-10,47.93,48.47,47.85,48.35,47.5934,6036995.0,0.0,1.0
2019-09-09,47.92,48.25,47.78,48.03,47.2784,4837436.0,0.0,1.0
2019-09-06,48.57,48.765,47.96,48.12,47.367,4740208.0,0.0,1.0
2019-09-05,47.79,48.28,47.65,48.12,47.367,9219988.0,0.0,1.0
2019-09-04,48.19,48.24,47.65,48.0,47.2489,5124460.0,0.0,1.0
2019-09-03,47.08,47.95,46.97,47.92,47.1702,5705075.0,0.0,1.0
2019-08-30,46.97,47.465,46.76,47.26,46.5205,5474397.0,0.0,1.0
2019-08-29,46.68,46.775,46.32,46.75,46.0185,3595305.0,0.0,1.0
2019-08-28,46.17,46.52,46.025,46.43,45.7035,5304890.0,0.0,1.0
2019-08-27,46.6,46.995,46.21,46.24,45.5164,9734393.0,0.0,1.0
2019-08-26,45.03,45.69,44.89,45.68,44.9652,3979387.0,0.0,1.0
2019-08-23,45.34,45.63,44.7,44.88,44.1777,6977954.0,0.0,1.0
2019-08-22,45.44,45.685,45.21,45.52,44.8077,3670504.0,0.0,1.0
2019-08-21,45.22,45.59,45.045,45.44,44.729,3780538.0,0.0,1.0
2019-08-20,45.38,45.39,44.9,45.21,44.5026,6164807.0,0.0,1.0
2019-08-19,45.2,45.45,44.94,45.28,44.5715,3984450.0,0.0,1.0
2019-08-16,44.82,45.18,44.6016,45.13,44.4238,5429136.0,0.0,1.0
2019-08-15,44.42,44.96,44.32,44.65,43.9513,5173499.0,0.0,1.0
2019-08-14,45.07,45.16,44.25,44.48,43.784,5663974.0,0.3625,1.0
2019-08-13,45.28,45.765,44.77,45.52,44.4455,6694536.0,0.0,1.0
2019-08-12,45.21,45.48,44.83,45.2,44.133,9101124.0,0.0,1.0
2019-08-09,45.61,45.79,45.13,45.2,44.133,5661754.0,0.0,1.0
2019-08-08,44.98,45.46,44.73,45.42,44.3478,5158477.0,0.0,1.0
2019-08-07,45.13,45.355,44.33,45.01,43.9475,5055620.0,0.0,1.0
2019-08-06,44.54,45.38,44.22,45.21,44.1428,7561566.0,0.0,1.0
2019-08-05,44.81,45.305,44.31,44.42,43.3715,9973915.0,0.0,1.0
2019-08-02,44.57,45.46,44.5,44.75,43.6937,7878867.0,0.0,1.0
2019-08-01,44.04,45.15,43.691,44.4,43.3519,7890527.0,0.0,1.0
2019-07-31,46.04,46.075,44.9,45.06,43.9963,6978421.0,0.0,1.0
2019-07-30,46.06,46.435,45.865,46.05,44.963,4200939.0,0.0,1.0
2019-07-29,45.9,46.21,45.46,46.05,44.963,6875310.0,0.0,1.0
2019-07-26,46.24,46.48,45.81,45.82,44.7384,5525877.0,0.0,1.0
2019-07-25,45.5,46.27,45.195,46.13,45.0411,8945660.0,0.0,1.0
2019-07-24,46.15,46.3,45.11,45.48,44.4064,10354891.0,0.0,1.0
2019-07-23,47.2,47.26,46.225,46.36,45.2657,7742324.0,0.0,1.0
2019-07-22,47.69,47.78,47.0684,47.28,46.1639,5328949.0,0.0,1.0
2019-07-19,48.62,48.72,47.53,47.57,46.4471,6827144.0,0.0,1.0
2019-07-18,48.72,48.86,48.31,48.76,47.609,4691558.0,0.0,1.0
2019-07-17,48.65,48.86,48.44,48.6,47.4528,3983404.0,0.0,1.0
2019-07-16,48.81,49.07,48.07,48.4,47.2575,5741983.0,0.0,1.0
2019-07-15,49.01,49.21,48.68,48.88,47.7262,4945949.0,0.0,1.0
2019-07-12,49.62,49.71,49.02,49.06,47.9019,3981742.0,0.0,1.0
2019-07-11,49.42,49.5674,49.0,49.54,48.3706,4379909.0,0.0,1.0
2019-07-10,49.19,49.8,48.98,49.37,48.2046,6124539.0,0.0,1.0
2019-07-09,48.77,49.08,48.42,48.98,47.8238,5700046.0,0.0,1.0
2019-07-08,49.15,49.26,48.58,48.77,47.6188,6751808.0,0.0,1.0
2019-07-05,48.7,49.26,48.19,49.2,48.0386,4583364.0,0.0,1.0
2019-07-03,48.88,49.21,48.705,49.03,47.8726,3560846.0,0.0,1.0
2019-07-02,48.16,48.84,48.12,48.83,47.6774,7305118.0,0.0,1.0
2019-07-01,47.97,48.135,47.5,48.05,46.9158,4397802.0,0.0,1.0
2019-06-28,47.59,48.06,47.5,47.94,46.8084,6728412.0,0.0,1.0
2019-06-27,47.98,48.07,47.38,47.56,46.4373,6226133.0,0.0,1.0
2019-06-26,48.86,48.99,47.76,47.79,46.6619,6191162.0,0.0,1.0
2019-06-25,50.02,50.1,49.0,49.04,47.8824,5655980.0,0.0,1.0
2019-06-24,50.24,50.57,49.89,50.16,48.976,5140931.0,0.0,1.0
2019-06-21,50.17,50.46,49.8,50.4,49.2103,8194816.0,0.0,1.0
2019-06-20,50.12,50.465,49.67,50.24,49.0541,4882590.0,0.0,1.0
2019-06-19,49.66,50.175,49.32,50.0,48.8197,6665617.0,0.0,1.0
2019-06-18,50.61,50.69,49.52,49.9,48.7221,5449534.0,0.0,1.0
2019-06-17,50.77,50.86,50.24,50.45,49.2591,3999050.0,0.0,1.0
2019-06-14,50.18,50.95,50.07,50.8,49.6009,4110794.0,0.0,1.0
2019-06-13,50.53,50.67,49.82,50.17,48.9857,3781734.0,0.0,1.0
2019-06-12,49.39,50.49,49.11,50.45,49.2591,5176386.0,0.0,1.0
2019-06-11,49.44,49.69,48.92,49.21,48.0484,4177540.0,0.0,1.0
2019-06-10,49.96,49.96,49.245,49.57,48.3999,3739085.0,0.0,1.0
2019-06-07,50.77,51.18,49.95,49.95,48.7709,5780552.0,0.0,1.0
2019-06-06,49.73,50.355,49.62,50.23,49.0443,4637399.0,0.0,1.0
2019-06-05,48.91,49.97,48.8,49.72,48.5463,4549844.0,0.0,1.0
2019-06-04,48.51,48.775,47.7,48.71,47.5602,3402938.0,0.0,1.0
2019-06-03,48.31,48.61,47.99,48.52,47.3747,3738448.0,0.0,1.0
2019-05-31,48.04,48.29,47.68,48.08,46.9451,5138443.0,0.0,1.0
2019-05-30,48.35,48.5,47.955,48.04,46.906,3271153.0,0.0,1.0
2019-05-29,48.93,48.96,48.1435,48.25,47.111,3623458.0,0.0,1.0
2019-05-28,49.58,49.62,48.665,48.78,47.6285,4299466.0,0.0,1.0
2019-05-24,49.67,50.01,49.515,49.56,48.3901,4196608.0,0.0,1.0
2019-05-23,49.29,49.725,49.2,49.66,48.4878,3656073.0,0.0,1.0
2019-05-22,49.02,49.375,48.81,49.27,48.107,4696644.0,0.0,1.0
2019-05-21,48.98,49.35,48.7941,48.93,47.775,3871341.0,0.0,1.0
2019-05-20,49.1,49.33,48.8,48.93,47.775,4538645.0,0.0,1.0
2019-05-17,48.52,49.185,48.52,48.98,47.8238,4125190.0,0.0,1.0
2019-05-16,48.81,49.16,48.64,48.91,47.7555,4584631.0,0.0,1.0
2019-05-15,49.01,49.21,48.74,48.77,47.6188,4516426.0,0.0,1.0
2019-05-14,49.38,49.56,48.91,48.97,47.814,4933399.0,0.3625,1.0
2019-05-13,49.21,49.91,49.14,49.82,48.2865,4122218.0,0.0,1.0
2019-05-10,48.78,49.42,48.49,49.33,47.8116,4062435.0,0.0,1.0
2019-05-09,48.68,48.93,48.33,48.76,47.2592,4447044.0,0.0,1.0
2019-05-08,48.95,49.16,48.425,48.58,47.0847,5553685.0,0.0,1.0
2019-05-07,49.32,49.51,48.89,49.08,47.5693,4655212.0,0.0,1.0
2019-05-06,49.93,50.04,49.245,49.39,47.8698,5252670.0,0.0,1.0
2019-05-03,49.75,50.05,49.59,49.88,48.3447,4596978.0,0.0,1.0
2019-05-02,50.67,50.715,49.225,49.73,48.1993,4707484.0,0.0,1.0
2019-05-01,50.76,50.82,50.28,50.29,48.7421,5495480.0,0.0,1.0
2019-04-30,50.21,51.0,49.97,50.95,49.3818,7600977.0,0.0,1.0
2019-04-29,50.37,50.45,49.68,50.08,48.5385,5297287.0,0.0,1.0
2019-04-26,50.63,51.03,50.455,50.47,48.9165,4971758.0,0.0,1.0
2019-04-25,49.88,50.665,49.8,50.39,48.839,4185093.0,0.0,1.0
2019-04-24,49.79,50.34,49.73,50.07,48.5288,7003832.0,0.0,1.0
2019-04-23,49.52,49.97,49.31,49.74,48.209,6572956.0,0.0,1.0
2019-04-22,49.49,49.735,49.31,49.48,47.957,6105084.0,0.0,1.0
2019-04-18,49.0,49.62,48.82,49.4,47.8795,8692654.0,0.0,1.0
2019-04-17,49.29,49.32,48.79,48.89,47.3852,5184404.0,0.0,1.0
2019-04-16,50.08,50.2,49.1,49.2,47.6856,3682235.0,0.0,1.0
2019-04-15,49.81,50.29,49.71,50.19,48.6452,5035620.0,0.0,1.0
2019-04-12,49.65,49.83,49.195,49.7,48.1702,6541162.0,0.0,1.0
2019-04-11,49.48,49.8,49.38,49.78,48.2478,3576543.0,0.0,1.0
2019-04-10,49.95,50.26,49.52,49.56,48.0345,4489233.0,0.0,1.0
2019-04-09,49.54,49.84,49.35,49.52,47.9958,5267217.0,0.0,1.0
2019-04-08,49.87,49.985,49.44,49.62,48.0927,6370810.0,0.0,1.0
2019-04-05,49.71,49.96,49.515,49.9,48.3641,5030861.0,0.0,1.0
2019-04-04,50.06,50.1,49.49,49.64,48.1121,3986393.0,0.0,1.0
2019-04-03,50.25,50.2929,49.81,49.94,48.4029,4315942.0,0.0,1.0
2019-04-02,50.32,50.35,49.895,50.29,48.7421,6380808.0,0.0,1.0
2019-04-01,50.34,50.35,49.44,49.84,48.3059,4212980.0,0.0,1.0
2019-03-29,49.71,50.15,49.59,50.13,48.587,5692221.0,0.0,1.0
2019-03-28,50.58,50.64,49.6,49.76,48.2284,5403426.0,0.0,1.0
2019-03-27,50.71,50.845,50.21,50.53,48.9747,5146386.0,0.0,1.0
2019-03-26,50.56,50.75,50.32,50.68,49.1201,4179538.0,0.0,1.0
2019-03-25,50.31,50.49,50.055,50.38,48.8293,5892057.0,0.0,1.0
2019-03-22,49.72,50.47,49.63,50.28,48.7324,7286639.0,0.0,1.0
2019-03-21,49.1,49.745,48.98,49.66,48.1315,8557501.0,0.0,1.0
2019-03-20,49.23,49.58,48.9,49.1,47.5887,4776360.0,0.0,1.0
2019-03-19,49.63,49.66,48.84,49.08,47.5693,6530675.0,0.0,1.0
2019-03-18,50.01,50.085,49.47,49.67,48.1412,5582946.0,0.0,1.0
2019-03-15,49.55,50.195,49.43,50.0,48.461,12012711.0,0.0,1.0
2019-03-14,49.63,49.99,49.42,49.62,48.0927,4097887.0,0.0,1.0
2019-03-13,49.43,49.7,49.35,49.63,48.1024,4653921.0,0.0,1.0
2019-03-12,49.18,49.56,49.14,49.46,47.9376,4840533.0,0.0,1.0
2019-03-11,48.79,49.14,48.69,49.08,47.5693,4504171.0,0.0,1.0
2019-03-08,48.6,48.82,48.31,48.78,47.2786,3405442.0,0.0,1.0
2019-03-07,48.61,48.95,48.48,48.55,47.0556,4137417.0,0.0,1.0
2019-03-06,48.45,48.6,48.16,48.43,46.9393,3542884.0,0.0,1.0
2019-03-05,48.36,48.56,48.26,48.42,46.9296,4382403.0,0.0,1.0
2019-03-04,48.66,48.81,48.095,48.45,46.9587,3729621.0,0.0,1.0
2019-03-01,48.7,48.825,48.33,48.54,47.0459,4724237.0,0.0,1.0
2019-02-28,48.22,48.79,48.09,48.59,47.0944,6281219.0,0.0,1.0
2019-02-27,48.35,48.79,48.24,48.3,46.8133,4955875.0,0.0,1.0
2019-02-26,48.64,48.75,48.28,48.56,47.0653,5395778.0,0.0,1.0
2019-02-25,48.96,48.97,48.19,48.42,46.9296,4001898.0,0.0,1.0
2019-02-22,48.6,48.91,48.45,48.74,47.2398,4250747.0,0.0,1.0
2019-02-21,47.86,48.62,47.825,48.49,46.9975,9513628.0,0.0,1.0
2019-02-20,48.01,48.34,47.8,48.13,46.6486,5817574.0,0.0,1.0
2019-02-19,48.04,48.205,47.71,48.15,46.6679,4836813.0,0.3625,1.0
2019-02-15,48.18,48.26,47.925,48.26,46.425,6128349.0,0.0,1.0
2019-02-14,47.85,48.08,47.53,47.86,46.0403,3876249.0,0.0,1.0
2019-02-13,47.8,48.02,47.765,47.9,46.0787,4375564.0,0.0,1.0
2019-02-12,47.91,48.105,47.49,47.92,46.098,4609960.0,0.0,1.0
2019-02-11,47.66,48.07,47.59,47.8,45.9825,5659851.0,0.0,1.0
2019-02-08,46.1639,47.81,46.03,47.72,45.9056,8799595.0,0.0,1.0
2019-02-07,47.36,48.165,47.17,48.13,46.3,7132555.0,0.0,1.0
2019-02-06,47.12,47.54,46.99,47.32,45.5208,5118159.0,0.0,1.0
2019-02-05,47.26,47.5,47.03,47.29,45.4919,5072282.0,0.0,1.0
2019-02-04,47.21,47.34,46.8,47.34,45.54,6413632.0,0.0,1.0
2019-02-01,47.67,47.77,47.12,47.46,45.6555,4859810.0,0.0,1.0
2019-01-31,46.6,47.93,46.46,47.76,45.9441,8023339.0,0.0,1.0
2019-01-30,46.12,46.9,46.11,46.65,44.8763,3786511.0,0.0,1.0
2019-01-29,46.3,46.51,46.04,46.2,44.4434,5140137.0,0.0,1.0
2019-01-28,46.47,46.57,45.805,46.15,44.3953,3555606.0,0.0,1.0
2019-01-25,46.78,47.03,46.24,46.43,44.6646,6726356.0,0.0,1.0
2019-01-24,47.0,47.06,46.5,46.96,45.1745,4438293.0,0.0,1.0
2019-01-23,46.3,46.89,46.26,46.87,45.0879,4619987.0,0.0,1.0
2019-01-22,46.02,46.6,45.78,46.25,44.4915,5264569.0,0.0,1.0
2019-01-18,46.1,46.39,45.9,46.08,44.3279,4821555.0,0.0,1.0
2019-01-17,45.83,46.09,45.6,46.02,44.2702,4138017.0,0.0,1.0
2019-01-16,45.52,45.83,45.29,45.8,44.0586,5571621.0,0.0,1.0
2019-01-15,44.93,46.0,44.93,45.79,44.049,5051704.0,0.0,1.0
2019-01-14,45.34,45.45,44.545,45.04,43.3275,6814910.0,0.0,1.0
2019-01-11,45.74,46.04,45.49,45.79,44.049,4782737.0,0.0,1.0
2019-01-10,45.15,45.84,44.91,45.79,44.049,4414549.0,0.0,1.0
2019-01-09,45.19,45.46,44.83,45.02,43.3082,6265027.0,0.0,1.0
2019-01-08,44.72,45.43,44.53,45.39,43.6642,4606678.0,0.0,1.0
2019-01-07,44.32,44.965,44.18,44.7,43.0004,7544204.0,0.0,1.0
2019-01-04,43.59,44.63,43.51,44.62,42.9234,5540649.0,0.0,1.0
2019-01-03,44.18,44.57,43.88,44.12,42.4425,4713184.0,0.0,1.0
2019-01-02,44.78,45.0,43.85,44.07,42.3944,5402684.0,0.0,1.0
2018-12-31,44.78,45.1,44.45,45.1,43.3852,4283945.0,0.0,1.0
2018-12-28,44.88,45.3,44.61,44.74,43.0389,4977494.0,0.0,1.0
2018-12-27,44.25,44.8,43.5,44.78,43.0774,6312617.0,0.0,1.0
2018-12-26,43.85,44.52,43.1,44.48,42.7888,5415239.0,0.0,1.0
2018-12-24,45.88,46.23,43.65,43.83,42.1635,4136478.0,0.0,1.0
2018-12-21,45.8,47.02,45.68,45.89,44.1452,12078163.0,0.0,1.0
