date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-03-06,88.26,92.94,87.99,91.85,91.85,4773936.0,0.0,1.0
2020-03-05,94.29,94.49,90.6,91.51,91.51,4449769.0,0.0,1.0
2020-03-04,96.22,97.2,93.01,97.14,97.14,3954397.0,0.0,1.0
2020-03-03,96.47,98.98,93.69,95.19,95.19,3376391.0,0.0,1.0
2020-03-02,97.72,98.17,93.7887,96.73,96.73,4849267.0,0.0,1.0
2020-02-28,95.83,99.78,95.24,98.62,98.62,5329391.0,0.0,1.0
2020-02-27,98.57,103.9,94.62,98.71,98.71,6148261.0,0.0,1.0
2020-02-26,109.4,109.7,100.61,101.19,101.19,5077960.0,0.0,1.0
2020-02-25,113.79,114.09,107.61,108.91,108.91,3447202.0,0.0,1.0
2020-02-24,113.17,114.44,110.57,112.31,112.31,4563633.0,0.0,1.0
2020-02-21,120.5,121.64,119.91,120.12,120.12,2060528.0,0.0,1.0
2020-02-20,121.2,123.75,121.12,121.66,121.66,2184387.0,0.0,1.0
2020-02-19,120.98,122.81,119.29,121.88,121.88,3216995.0,0.0,1.0
2020-02-18,122.07,124.57,120.92,121.1,121.1,3221341.0,0.0,1.0
2020-02-14,124.05,124.74,120.0154,122.8,122.8,10382889.0,0.0,1.0
2020-02-13,110.0,111.965,110.0,110.59,110.59,3732298.0,0.0,1.0
2020-02-12,109.82,111.07,109.6,110.97,110.97,2656774.0,0.0,1.0
2020-02-11,109.29,110.06,108.34,109.2,109.2,2065301.0,0.0,1.0
2020-02-10,109.66,109.8154,108.19,108.71,108.71,2039479.0,0.0,1.0
2020-02-07,111.45,111.53,109.8,110.09,110.09,1798870.0,0.0,1.0
2020-02-06,111.41,112.23,110.79,111.75,111.75,1233167.0,0.0,1.0
2020-02-05,111.78,111.96,109.76,111.1,111.1,1238661.0,0.0,1.0
2020-02-04,109.03,111.34,108.795,110.66,110.66,1825934.0,0.0,1.0
2020-02-03,108.96,110.05,107.38,107.8,107.8,2970841.0,0.0,1.0
