date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-03-06,33.5,34.29,33.32,34.16,34.16,7757543.0,0.0,1.0
2020-03-05,34.55,36.05,34.48,34.84,34.84,8820390.0,0.0,1.0
2020-03-04,34.98,35.59,34.335,35.535,35.535,4983813.0,0.0,1.0
2020-03-03,34.84,36.39,34.18,34.39,34.39,6747302.0,0.0,1.0
2020-03-02,34.33,35.19,33.31,35.18,35.18,7077862.0,0.0,1.0
2020-02-28,33.81,34.84,33.491,34.22,34.22,8622870.0,0.0,1.0
2020-02-27,35.37,36.45,34.76,35.02,35.02,8835246.0,0.0,1.0
2020-02-26,36.67,36.83,35.89,35.96,35.96,4487946.0,0.0,1.0
2020-02-25,37.98,38.18,35.97,36.16,36.16,5998205.0,0.0,1.0
2020-02-24,38.05,38.39,37.245,37.76,37.76,3934852.0,0.0,1.0
2020-02-21,38.84,39.18,38.45,38.86,38.86,4124085.0,0.0,1.0
2020-02-20,38.41,39.305,38.29,39.02,39.02,3301448.0,0.0,1.0
2020-02-19,38.37,38.659,38.19,38.29,38.29,1706045.0,0.0,1.0
2020-02-18,38.28,38.435,37.875,38.29,38.29,2288047.0,0.0,1.0
2020-02-14,38.23,38.565,38.01,38.32,38.32,2745884.0,0.0,1.0
2020-02-13,38.15,38.47,37.99,38.24,38.24,2270819.0,0.0,1.0
2020-02-12,37.9,38.395,37.9,38.34,38.34,2477488.0,0.0,1.0
2020-02-11,37.1,37.95,37.09,37.82,37.82,4432232.0,0.0,1.0
2020-02-10,37.16,37.27,36.69,36.94,36.94,4827845.0,0.0,1.0
2020-02-07,37.66,37.945,37.12,37.35,37.35,3342722.0,0.0,1.0
2020-02-06,38.0,38.24,37.55,37.9,37.9,3126403.0,0.0,1.0
2020-02-05,37.55,37.67,37.17,37.65,37.65,4071266.0,0.0,1.0
2020-02-04,36.5,37.24,36.26,36.93,36.93,3614854.0,0.0,1.0
2020-02-03,35.21,36.06,35.03,35.855,35.855,4708912.0,0.0,1.0
2020-01-31,35.83,35.99,34.73,34.88,34.88,4707297.0,0.0,1.0
2020-01-30,34.73,36.18,34.73,36.14,36.14,4365633.0,0.25,1.0
2020-01-29,35.99,36.54,35.83,35.9,35.6534,3883847.0,0.0,1.0
2020-01-28,35.2496,35.9,35.07,35.77,35.5243,3723686.0,0.0,1.0
2020-01-27,34.94,35.55,34.63,35.25,35.0078,6163034.0,0.0,1.0
2020-01-24,36.12,36.17,35.025,35.52,35.276,4163942.0,0.0,1.0
2020-01-23,35.86,36.12,35.29,36.06,35.8123,3133640.0,0.0,1.0
2020-01-22,36.18,36.3,35.87,35.93,35.6832,3501610.0,0.0,1.0
2020-01-21,36.43,36.64,35.445,35.83,35.5838,6455271.0,0.0,1.0
2020-01-17,36.37,37.6,36.2138,36.8,36.5472,12851772.0,0.0,1.0
2020-01-16,36.9,37.335,36.8,37.31,37.0537,5958631.0,0.0,1.0
2020-01-15,36.67,36.98,36.45,36.79,36.5373,4365765.0,0.0,1.0
2020-01-14,36.64,37.175,36.47,36.82,36.567,5495631.0,0.0,1.0
2020-01-13,36.6,36.65,36.345,36.59,36.3386,3154680.0,0.0,1.0
2020-01-10,36.22,36.57,35.9,36.33,36.0804,3542436.0,0.0,1.0
2020-01-09,36.19,36.4099,35.84,36.22,35.9712,3811406.0,0.0,1.0
2020-01-08,36.11,36.625,35.93,36.2,35.9513,3795986.0,0.0,1.0
2020-01-07,35.87,36.1,35.65,35.93,35.6832,3108899.0,0.0,1.0
2020-01-06,36.24,36.295,35.75,36.0,35.7527,4136337.0,0.0,1.0
2020-01-03,36.67,36.82,36.03,36.57,36.3188,4101279.0,0.0,1.0
2020-01-02,37.08,37.33,36.65,37.23,36.9742,4046912.0,0.0,1.0
2019-12-31,36.86,37.18,36.84,36.95,36.6962,2141850.0,0.0,1.0
2019-12-30,37.0,37.14,36.85,36.945,36.6912,1392993.0,0.0,1.0
2019-12-27,37.0,37.08,36.66,36.98,36.7259,1737979.0,0.0,1.0
2019-12-26,37.0,37.0,36.68,36.94,36.6862,1834041.0,0.0,1.0
2019-12-24,37.06,37.06,36.74,37.01,36.7557,810208.0,0.0,1.0
2019-12-23,37.39,37.43,36.845,36.93,36.6763,2679299.0,0.0,1.0
2019-12-20,37.24,37.24,36.72,37.12,36.865,6381118.0,0.0,1.0
2019-12-19,36.81,36.91,36.59,36.795,36.5422,2199036.0,0.0,1.0
2019-12-18,36.81,36.86,36.55,36.84,36.5869,3034271.0,0.0,1.0
2019-12-17,37.79,37.79,36.72,36.87,36.6167,3797596.0,0.0,1.0
2019-12-16,37.24,37.455,37.07,37.41,37.153,3014975.0,0.0,1.0
2019-12-13,37.49,37.94,36.935,37.03,36.7756,4048541.0,0.0,1.0
2019-12-12,36.21,37.745,35.97,37.65,37.3913,6002956.0,0.0,1.0
2019-12-11,36.08,36.32,35.84,36.235,35.9861,1988446.0,0.0,1.0
2019-12-10,36.04,36.22,35.8,35.94,35.6931,2400170.0,0.0,1.0
2019-12-09,35.96,36.27,35.91,36.11,35.8619,3121506.0,0.0,1.0
2019-12-06,35.58,36.125,35.58,35.94,35.6931,3779824.0,0.0,1.0
2019-12-05,35.65,36.48,35.18,35.28,35.0376,5737207.0,0.0,1.0
2019-12-04,35.05,35.36,34.99,35.06,34.8191,3811765.0,0.0,1.0
2019-12-03,34.52,35.035,34.03,34.91,34.6702,3241898.0,0.0,1.0
2019-12-02,35.38,36.0,34.89,34.96,34.7198,3409098.0,0.0,1.0
2019-11-29,35.66,35.91,35.43,35.52,35.276,1571970.0,0.0,1.0
2019-11-27,36.12,36.12,35.55,35.79,35.5441,2089255.0,0.0,1.0
2019-11-26,35.94,36.13,35.79,35.91,35.6633,4339510.0,0.0,1.0
2019-11-25,35.81,36.21,35.67,36.07,35.8222,2893527.0,0.0,1.0
2019-11-22,35.36,35.735,34.95,35.71,35.4647,2568769.0,0.0,1.0
2019-11-21,35.32,35.375,34.915,35.14,34.8986,2752305.0,0.0,1.0
2019-11-20,35.66,35.73,35.05,35.26,35.0178,3983493.0,0.0,1.0
2019-11-19,36.12,36.13,35.69,35.73,35.4845,3812884.0,0.0,1.0
2019-11-18,36.24,36.25,35.66,35.86,35.6136,2957748.0,0.0,1.0
2019-11-15,36.43,36.59,36.085,36.33,36.0804,4216221.0,0.0,1.0
2019-11-14,36.02,36.31,35.73,36.2,35.9513,2985192.0,0.0,1.0
2019-11-13,36.64,36.645,35.97,36.02,35.7725,3306949.0,0.0,1.0
