date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-03-06,28.25,29.09,28.16,28.84,28.84,8403629.0,0.0,1.0
2020-03-05,30.16,30.39,29.18,29.44,29.44,5392186.0,0.0,1.0
2020-03-04,31.32,31.57,30.42,30.93,30.93,4338437.0,0.0,1.0
2020-03-03,31.42,32.63,30.66,30.99,30.99,4869495.0,0.23,1.0
2020-03-02,30.73,32.14,30.35,32.11,31.8734,7503770.0,0.0,1.0
2020-02-28,30.25,31.68,30.16,30.74,30.5135,7567114.0,0.0,1.0
2020-02-27,32.23,32.89,31.33,31.34,31.1091,7440242.0,0.0,1.0
2020-02-26,33.56,33.77,32.4,32.79,32.5484,5632557.0,0.0,1.0
2020-02-25,34.81,35.0,33.0245,33.21,32.9653,5241255.0,0.0,1.0
2020-02-24,35.65,35.65,34.48,34.69,34.4344,5577610.0,0.0,1.0
2020-02-21,36.71,37.6,35.75,35.99,35.7249,5024178.0,0.0,1.0
2020-02-20,37.7,37.9,36.33,37.03,36.7572,5305658.0,0.0,1.0
2020-02-19,37.93,38.28,37.6,38.03,37.7498,1839277.0,0.0,1.0
2020-02-18,37.76,37.99,37.45,37.78,37.5017,2065392.0,0.0,1.0
2020-02-14,38.08,38.11,37.48,37.8,37.5215,2349557.0,0.0,1.0
2020-02-13,37.53,38.275,37.46,38.0,37.7201,2034790.0,0.0,1.0
2020-02-12,37.33,37.7,37.23,37.67,37.3925,3303320.0,0.0,1.0
2020-02-11,37.23,37.4394,36.66,37.13,36.8565,2550303.0,0.0,1.0
2020-02-10,36.87,37.41,36.72,37.3,37.0252,3212900.0,0.0,1.0
2020-02-07,36.98,37.07,36.48,37.0,36.7274,3634298.0,0.0,1.0
2020-02-06,39.1,39.42,36.73,37.11,36.8366,9336502.0,0.0,1.0
2020-02-05,38.54,38.98,38.12,38.67,38.3851,6334956.0,0.0,1.0
2020-02-04,37.96,38.31,37.75,38.03,37.7498,3330975.0,0.0,1.0
2020-02-03,37.3,37.99,37.11,37.59,37.3131,3371357.0,0.0,1.0
2020-01-31,37.0,37.2,36.47,37.08,36.8068,5283881.0,0.0,1.0
2020-01-30,36.17,37.07,36.05,37.03,36.7572,2956940.0,0.0,1.0
2020-01-29,36.95,37.22,36.425,36.58,36.3105,2596049.0,0.0,1.0
2020-01-28,37.35,37.43,36.75,37.14,36.8664,3268085.0,0.0,1.0
2020-01-27,36.44,37.015,36.19,36.88,36.6083,9909349.0,0.0,1.0
2020-01-24,37.3,37.46,36.18,36.61,36.3403,9289663.0,0.0,1.0
2020-01-23,38.77,39.02,37.34,37.49,37.2138,5845476.0,0.0,1.0
2020-01-22,39.15,39.31,38.855,39.08,38.7921,3920952.0,0.0,1.0
2020-01-21,39.0,39.38,38.84,39.1,38.8119,4104815.0,0.0,1.0
2020-01-17,39.28,39.735,39.16,39.34,39.0502,4785892.0,0.0,1.0
2020-01-16,37.71,39.14,37.62,39.11,38.8219,7362807.0,0.0,1.0
2020-01-15,37.36,37.6,37.17,37.48,37.2039,6165154.0,0.0,1.0
2020-01-14,36.79,37.51,36.76,37.26,36.9855,4530938.0,0.0,1.0
2020-01-13,36.72,37.15,36.47,36.99,36.7175,2674370.0,0.0,1.0
2020-01-10,37.12,37.24,36.64,36.72,36.4495,2663984.0,0.0,1.0
2020-01-09,37.18,37.365,36.815,37.18,36.9061,3621876.0,0.0,1.0
2020-01-08,37.13,37.51,37.04,37.11,36.8366,3709661.0,0.0,1.0
2020-01-07,36.56,37.225,36.4,37.07,36.7969,3253951.0,0.0,1.0
2020-01-06,36.66,36.765,36.36,36.57,36.3006,2434614.0,0.0,1.0
2020-01-03,36.69,36.98,36.62,36.665,36.3949,4035801.0,0.0,1.0
2020-01-02,37.41,37.47,36.575,37.07,36.7969,4500697.0,0.0,1.0
2019-12-31,36.94,37.175,36.76,37.07,36.7969,2315456.0,0.0,1.0
2019-12-30,37.42,37.56,36.99,37.08,36.8068,3039584.0,0.0,1.0
2019-12-27,37.65,37.72,37.215,37.41,37.1344,1969014.0,0.0,1.0
2019-12-26,37.26,37.67,37.26,37.57,37.2932,3699187.0,0.0,1.0
2019-12-24,37.44,37.6,37.25,37.3,37.0252,1940663.0,0.0,1.0
2019-12-23,37.17,37.625,37.04,37.455,37.1791,3712114.0,0.0,1.0
2019-12-20,37.29,37.29,36.72,37.17,36.8962,6211696.0,0.0,1.0
2019-12-19,36.76,37.17,36.76,37.0,36.7274,2629295.0,0.0,1.0
2019-12-18,37.19,37.33,36.89,36.93,36.6579,3392546.0,0.0,1.0
2019-12-17,36.71,37.26,36.435,37.16,36.8862,4143125.0,0.0,1.0
2019-12-16,36.95,37.16,36.7021,36.81,36.5388,4273548.0,0.0,1.0
2019-12-13,36.73,36.99,36.505,36.77,36.4991,5970920.0,0.0,1.0
2019-12-12,36.32,36.94,36.1086,36.85,36.5785,5796430.0,0.0,1.0
2019-12-11,35.75,36.595,35.75,36.16,35.8936,5668715.0,0.0,1.0
2019-12-10,35.51,36.01,35.24,35.81,35.5462,5996830.0,0.0,1.0
2019-12-09,35.5,36.015,35.35,35.62,35.3576,2849287.0,0.0,1.0
2019-12-06,35.71,35.91,35.35,35.42,35.1591,1733518.0,0.0,1.0
2019-12-05,35.65,35.77,35.23,35.5,35.2385,2921919.0,0.0,1.0
2019-12-04,35.53,35.69,34.99,35.5,35.2385,3768434.0,0.0,1.0
2019-12-03,35.41,35.525,34.71,35.19,34.9308,4207502.0,0.0,1.0
2019-12-02,35.75,36.02,35.55,35.6,35.3377,2599436.0,0.0,1.0
2019-11-29,35.81,36.0,35.37,35.76,35.4966,1704919.0,0.0,1.0
2019-11-27,36.06,36.19,35.675,35.78,35.5164,2455892.0,0.0,1.0
2019-11-26,35.67,36.095,35.55,35.93,35.6653,3086318.0,0.0,1.0
2019-11-25,35.7,35.86,35.35,35.68,35.4171,4908094.0,0.0,1.0
2019-11-22,35.77,36.04,35.505,35.66,35.3973,4408152.0,0.0,1.0
2019-11-21,35.93,36.35,35.56,35.7,35.437,2861622.0,0.0,1.0
2019-11-20,35.66,36.41,35.66,35.89,35.6256,4320510.0,0.0,1.0
2019-11-19,35.22,36.325,35.22,36.26,35.9929,6334172.0,0.0,1.0
2019-11-18,34.31,35.25,34.21,35.19,34.9308,5690353.0,0.0,1.0
2019-11-15,34.39,34.68,33.93,34.27,34.0175,4517722.0,0.0,1.0
2019-11-14,34.14,34.51,33.99,34.22,33.9679,4022379.0,0.0,1.0
2019-11-13,34.37,34.72,34.19,34.26,34.0076,4559697.0,0.0,1.0
2019-11-12,35.07,35.105,34.45,34.485,34.2309,3906077.0,0.0,1.0
2019-11-11,34.95,35.07,34.59,34.99,34.7322,3280165.0,0.0,1.0
