date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-03-06,27.71,28.79,27.5502,28.52,28.52,2821346.0,0.0,1.0
2020-03-05,29.83,30.04,28.91,29.12,29.12,2206325.0,0.0,1.0
2020-03-04,31.04,31.27,30.13,30.67,30.67,2778676.0,0.0,1.0
2020-03-03,31.19,32.28,30.34,30.71,30.71,4065571.0,0.23,1.0
2020-03-02,30.45,31.79,30.07,31.79,31.5537,2871340.0,0.0,1.0
2020-02-28,30.2,31.32,29.86,30.45,30.2236,3917379.0,0.0,1.0
2020-02-27,31.99,32.56,30.99,30.99,30.7596,2763464.0,0.0,1.0
2020-02-26,33.36,33.41,32.08,32.4,32.1591,2761161.0,0.0,1.0
2020-02-25,34.41,34.55,32.645,32.83,32.586,1922764.0,0.0,1.0
2020-02-24,35.27,35.44,34.09,34.27,34.0152,1503855.0,0.0,1.0
2020-02-21,36.29,36.84,35.48,35.5,35.2361,1593492.0,0.0,1.0
2020-02-20,37.18,37.34,35.9,36.54,36.2684,1605168.0,0.0,1.0
2020-02-19,37.24,37.72,37.1,37.53,37.251,674170.0,0.0,1.0
2020-02-18,37.26,37.405,36.94,37.22,36.9433,965582.0,0.0,1.0
2020-02-14,37.53,37.59,37.0,37.31,37.0326,750538.0,0.0,1.0
2020-02-13,36.95,37.74,36.95,37.52,37.2411,1059421.0,0.0,1.0
2020-02-12,36.77,37.22,36.72,37.16,36.8838,907738.0,0.0,1.0
2020-02-11,36.85,36.85,36.18,36.61,36.3379,926893.0,0.0,1.0
2020-02-10,36.22,36.845,36.1,36.78,36.5066,1441973.0,0.0,1.0
2020-02-07,36.45,36.46,35.89,36.37,36.0996,1047945.0,0.0,1.0
2020-02-06,38.26,38.44,36.18,36.5,36.2287,2530226.0,0.0,1.0
2020-02-05,37.81,38.21,37.45,37.93,37.648,1984727.0,0.0,1.0
2020-02-04,37.27,37.57,36.99,37.4,37.122,1072480.0,0.0,1.0
2020-02-03,36.5,37.25,36.41,36.83,36.5562,1084722.0,0.0,1.0
2020-01-31,36.35,36.57,35.8485,36.33,36.0599,1604331.0,0.0,1.0
2020-01-30,35.6,36.48,35.53,36.46,36.189,978498.0,0.0,1.0
2020-01-29,36.38,36.63,35.875,35.99,35.7225,876059.0,0.0,1.0
2020-01-28,36.5,36.82,36.17,36.62,36.3478,1353070.0,0.0,1.0
2020-01-27,35.81,36.42,35.66,36.37,36.0996,1838808.0,0.0,1.0
2020-01-24,36.94,36.94,35.64,36.04,35.7721,2762270.0,0.0,1.0
2020-01-23,38.11,38.13,36.7,36.9,36.6257,2407370.0,0.0,1.0
2020-01-22,38.41,38.6,38.13,38.4,38.1145,1321156.0,0.0,1.0
2020-01-21,38.4,38.54,38.09,38.41,38.1245,1416727.0,0.0,1.0
2020-01-17,38.31,38.84,38.31,38.575,38.2882,1662667.0,0.0,1.0
2020-01-16,36.91,38.26,36.87,38.23,37.9458,1835130.0,0.0,1.0
2020-01-15,36.57,36.86,36.48,36.79,36.5165,889594.0,0.0,1.0
2020-01-14,36.13,36.77,35.912,36.54,36.2684,1441545.0,0.0,1.0
2020-01-13,36.09,36.47,35.82,36.3,36.0302,1206957.0,0.0,1.0
2020-01-10,36.55,36.59,35.99,36.085,35.8168,1067149.0,0.0,1.0
2020-01-09,36.5,36.67,36.2,36.5,36.2287,850982.0,0.0,1.0
2020-01-08,36.58,36.92,36.36,36.42,36.1493,1799546.0,0.0,1.0
2020-01-07,35.89,36.58,35.83,36.47,36.1989,955722.0,0.0,1.0
2020-01-06,35.94,36.14,35.73,36.015,35.7473,793322.0,0.0,1.0
2020-01-03,36.01,36.35,36.01,36.1,35.8316,940267.0,0.0,1.0
2020-01-02,36.5,36.75,35.965,36.46,36.189,1142526.0,0.0,1.0
2019-12-31,36.32,36.525,36.145,36.4,36.1294,988435.0,0.0,1.0
2019-12-30,36.79,36.86,36.39,36.44,36.1691,893971.0,0.0,1.0
2019-12-27,36.95,36.95,36.55,36.725,36.452,832790.0,0.0,1.0
2019-12-26,36.64,36.86,36.5,36.8,36.5264,696708.0,0.0,1.0
2019-12-24,36.61,36.8,36.49,36.5,36.2287,347105.0,0.0,1.0
2019-12-23,36.16,36.79,36.16,36.63,36.3577,1149180.0,0.0,1.0
2019-12-20,36.14,36.3932,35.85,36.22,35.9507,2579024.0,0.0,1.0
2019-12-19,35.9,36.22,35.84,36.05,35.782,1098569.0,0.0,1.0
2019-12-18,36.28,36.4,35.96,36.0,35.7324,1880818.0,0.0,1.0
2019-12-17,35.87,36.33,35.56,36.24,35.9706,1019306.0,0.0,1.0
2019-12-16,36.03,36.18,35.81,35.89,35.6232,1097758.0,0.0,1.0
2019-12-13,35.92,36.11,35.64,35.86,35.5934,1363637.0,0.0,1.0
2019-12-12,35.38,36.06,35.24,35.96,35.6927,1350806.0,0.0,1.0
2019-12-11,35.02,35.71,35.02,35.29,35.0277,1647272.0,0.0,1.0
2019-12-10,34.77,35.16,34.48,34.92,34.6604,1210663.0,0.0,1.0
2019-12-09,34.67,35.18,34.51,34.79,34.5314,1068321.0,0.0,1.0
2019-12-06,34.88,35.05,34.535,34.6,34.3428,892880.0,0.0,1.0
2019-12-05,34.79,35.0,34.45,34.635,34.3775,1203137.0,0.0,1.0
2019-12-04,34.29,34.84,34.19,34.64,34.3825,1198067.0,0.0,1.0
2019-12-03,34.54,34.63,33.99,34.35,34.0947,1087081.0,0.0,1.0
2019-12-02,34.96,35.23,34.745,34.815,34.5562,1014358.0,0.0,1.0
2019-11-29,34.9,35.21,34.62,34.98,34.72,528728.0,0.0,1.0
2019-11-27,35.3,35.39,34.895,35.03,34.7696,757250.0,0.0,1.0
2019-11-26,34.88,35.29,34.78,35.19,34.9284,1485605.0,0.0,1.0
2019-11-25,34.88,35.0,34.5799,34.85,34.5909,1108775.0,0.0,1.0
2019-11-22,34.77,35.17,34.75,34.875,34.6157,1140024.0,0.0,1.0
2019-11-21,35.0,35.43,34.69,34.78,34.5215,992110.0,0.0,1.0
2019-11-20,35.19,35.55,34.9,34.995,34.7349,1548949.0,0.0,1.0
2019-11-19,34.67,35.48,34.47,35.43,35.1666,1301555.0,0.0,1.0
2019-11-18,33.58,34.48,33.55,34.46,34.2038,1344346.0,0.0,1.0
2019-11-15,33.75,33.97,33.39,33.595,33.3453,1682434.0,0.0,1.0
2019-11-14,33.46,33.78,33.28,33.45,33.2013,1251312.0,0.0,1.0
2019-11-13,33.63,33.96,33.47,33.57,33.3204,994882.0,0.0,1.0
2019-11-12,34.21,34.37,33.755,33.81,33.5587,995892.0,0.0,1.0
2019-11-11,34.24,34.33,33.94,34.22,33.9656,768824.0,0.0,1.0
2019-11-08,34.14,34.52,33.91,34.43,34.1741,1551508.0,0.0,1.0
2019-11-07,33.15,34.265,32.74,34.25,33.9954,2731812.0,0.0,1.0
2019-11-06,32.18,32.46,31.67,32.33,32.0897,1430337.0,0.0,1.0
2019-11-05,31.9,32.45,31.9,32.15,31.911,2289616.0,0.0,1.0
2019-11-04,32.04,32.04,31.73,31.9,31.6629,1476123.0,0.0,1.0
2019-11-01,31.36,31.96,31.18,31.86,31.6232,2996985.0,0.0,1.0
2019-10-31,31.17,31.26,30.9432,31.24,31.0078,1531716.0,0.0,1.0
2019-10-30,31.98,32.06,31.3,31.36,31.1269,1198136.0,0.0,1.0
2019-10-29,32.16,32.21,31.84,32.05,31.8117,1129562.0,0.0,1.0
2019-10-28,31.72,32.66,31.72,32.21,31.9706,2133576.0,0.0,1.0
2019-10-25,31.62,32.06,31.62,31.7,31.4644,1282118.0,0.0,1.0
2019-10-24,32.56,32.73,31.2,31.6,31.3651,1456268.0,0.0,1.0
2019-10-23,32.87,33.01,32.5,32.61,32.3676,905060.0,0.0,1.0
2019-10-22,32.16,32.86,31.9275,32.77,32.5264,1523424.0,0.0,1.0
2019-10-21,31.71,32.155,31.57,32.09,31.8515,1581784.0,0.0,1.0
2019-10-18,31.63,32.07,31.48,31.525,31.2907,2453810.0,0.0,1.0
2019-10-17,31.5,31.72,31.15,31.49,31.2559,2047636.0,0.0,1.0
2019-10-16,31.35,31.59,31.26,31.585,31.3502,1160056.0,0.0,1.0
2019-10-15,31.02,31.51,30.8,31.44,31.2063,1148910.0,0.0,1.0
2019-10-14,31.06,31.13,30.745,31.01,30.7795,1178758.0,0.0,1.0
2019-10-11,30.65,31.48,30.63,31.16,30.9284,1571702.0,0.0,1.0
2019-10-10,30.22,30.53,30.05,30.425,30.1988,1167354.0,0.0,1.0
2019-10-09,30.21,30.41,29.94,30.26,30.0351,1147602.0,0.0,1.0
2019-10-08,30.21,30.21,29.61,30.035,29.8117,1234910.0,0.0,1.0
2019-10-07,30.51,31.04,30.48,30.49,30.2633,962561.0,0.0,1.0
2019-10-04,30.5,30.78,30.34,30.485,30.2584,998978.0,0.0,1.0
2019-10-03,30.25,30.43,29.67,30.39,30.1641,1074102.0,0.0,1.0
2019-10-02,30.99,31.2,30.26,30.31,30.0847,1123876.0,0.0,1.0
2019-10-01,31.7,32.01,31.13,31.18,30.9482,880723.0,0.0,1.0
2019-09-30,31.68,31.85,31.34,31.54,31.3055,712092.0,0.0,1.0
2019-09-27,31.51,31.71,31.13,31.48,31.246,870745.0,0.0,1.0
2019-09-26,32.06,32.06,31.35,31.47,31.2361,1318245.0,0.0,1.0
2019-09-25,31.48,32.17,31.48,32.0,31.7621,1459454.0,0.0,1.0
2019-09-24,32.32,32.35,31.4,31.53,31.2956,1208646.0,0.0,1.0
2019-09-23,32.16,32.3354,31.88,32.18,31.9408,855046.0,0.0,1.0
2019-09-20,31.89,32.3,31.63,32.08,31.8415,1598772.0,0.0,1.0
2019-09-19,32.57,32.66,31.9,31.97,31.7323,635227.0,0.0,1.0
2019-09-18,32.68,32.84,32.03,32.5,32.2584,1212803.0,0.0,1.0
2019-09-17,33.46,33.46,32.72,32.82,32.576,890641.0,0.0,1.0
2019-09-16,33.52,33.66,33.35,33.49,33.241,653062.0,0.0,1.0
2019-09-13,33.68,34.08,33.45,33.71,33.4594,938782.0,0.0,1.0
2019-09-12,34.12,34.12,33.59,33.7,33.4495,1159707.0,0.0,1.0
2019-09-11,34.1,34.23,33.62,33.97,33.7175,1073821.0,0.0,1.0
2019-09-10,33.76,34.42,33.76,34.22,33.9656,1421815.0,0.0,1.0
2019-09-09,33.68,34.02,33.31,33.99,33.7373,792534.0,0.0,1.0
2019-09-06,33.95,34.35,33.73,33.87,33.6182,875145.0,0.0,1.0
2019-09-05,33.52,34.03,33.23,33.91,33.6579,965302.0,0.0,1.0
2019-09-04,32.65,33.26,32.535,33.21,32.9631,971059.0,0.0,1.0
2019-09-03,32.4,32.735,32.16,32.43,32.1889,986431.0,0.23,1.0
2019-08-30,33.27,33.31,32.47,32.8,32.3269,1295528.0,0.0,1.0
2019-08-29,31.78,32.8,31.665,32.45,31.982,1727754.0,0.0,1.0
2019-08-28,31.67,31.94,31.33,31.56,31.1048,1001974.0,0.0,1.0
2019-08-27,31.9,32.05,31.61,31.62,31.1639,1763496.0,0.0,1.0
2019-08-26,31.67,31.82,31.28,31.71,31.2526,1508608.0,0.0,1.0
2019-08-23,32.66,32.72,31.33,31.44,30.9865,1475591.0,0.0,1.0
2019-08-22,33.19,33.34,32.73,32.82,32.3466,1438751.0,0.0,1.0
2019-08-21,33.47,33.51,32.87,33.15,32.6719,1408738.0,0.0,1.0
2019-08-20,33.5,33.82,33.25,33.36,32.8788,1711158.0,0.0,1.0
2019-08-19,33.31,33.9,33.3,33.6,33.1154,1633531.0,0.0,1.0
2019-08-16,33.09,33.29,32.71,33.01,32.5339,1410314.0,0.0,1.0
2019-08-15,33.65,34.03,32.71,32.81,32.3368,2016945.0,0.0,1.0
2019-08-14,34.78,34.78,33.37,33.66,33.1745,1372250.0,0.0,1.0
2019-08-13,34.67,35.53,34.67,35.0,34.4952,1716149.0,0.0,1.0
2019-08-12,35.28,35.28,34.67,34.81,34.3079,1335099.0,0.0,1.0
2019-08-09,34.95,35.56,34.88,35.37,34.8598,1337114.0,0.0,1.0
2019-08-08,37.34,37.34,34.89,35.0,34.4952,3361133.0,0.0,1.0
2019-08-07,36.05,36.93,35.76,36.79,36.2594,1784859.0,0.0,1.0
2019-08-06,35.93,36.51,35.85,36.4,35.875,1536308.0,0.0,1.0
2019-08-05,36.28,36.48,35.75,36.0,35.4807,2043727.0,0.0,1.0
2019-08-02,36.84,36.85,36.29,36.56,36.0327,1113369.0,0.0,1.0
2019-08-01,37.16,37.45,36.69,36.84,36.3086,1757944.0,0.0,1.0
2019-07-31,37.7,37.7,36.7717,37.2,36.6634,1831333.0,0.0,1.0
2019-07-30,37.5,38.06,37.5,37.85,37.3041,1825475.0,0.0,1.0
2019-07-29,37.44,37.84,37.34,37.69,37.1464,885755.0,0.0,1.0
2019-07-26,37.37,38.03,37.33,37.49,36.9493,915589.0,0.0,1.0
2019-07-25,36.91,37.54,36.9,37.43,36.8901,1411803.0,0.0,1.0
2019-07-24,36.46,37.08,36.44,36.89,36.3579,1233524.0,0.0,1.0
2019-07-23,36.35,36.75,35.99,36.51,35.9834,2003214.0,0.0,1.0
2019-07-22,36.47,36.64,36.28,36.32,35.7961,1557766.0,0.0,1.0
2019-07-19,36.71,36.76,36.2,36.45,35.9243,1934281.0,0.0,1.0
2019-07-18,36.1,36.76,36.0,36.61,36.082,3015699.0,0.0,1.0
2019-07-17,36.62,36.72,36.0934,36.17,35.6483,1892152.0,0.0,1.0
2019-07-16,37.08,37.11,36.61,36.69,36.1608,1613120.0,0.0,1.0
2019-07-15,37.12,37.21,36.61,37.04,36.5057,1344926.0,0.0,1.0
2019-07-12,36.32,37.01,36.32,36.96,36.4269,1582893.0,0.0,1.0
2019-07-11,36.13,36.37,35.85,36.31,35.7863,1206502.0,0.0,1.0
2019-07-10,36.11,36.41,36.03,36.14,35.6187,1177618.0,0.0,1.0
2019-07-09,35.98,36.29,35.79,36.01,35.4906,1661275.0,0.0,1.0
2019-07-08,36.36,36.935,36.05,36.13,35.6089,910742.0,0.0,1.0
2019-07-05,36.28,36.77,36.07,36.56,36.0327,1190558.0,0.0,1.0
2019-07-03,36.7,36.77,36.31,36.35,35.8257,918880.0,0.0,1.0
2019-07-02,35.96,36.57,35.96,36.53,36.0031,1431153.0,0.0,1.0
2019-07-01,36.82,36.87,35.715,35.96,35.4413,2691314.0,0.0,1.0
2019-06-28,35.89,36.64,35.67,36.53,36.0031,4921105.0,0.0,1.0
2019-06-27,35.36,36.12,35.06,35.75,35.2344,2880867.0,0.0,1.0
2019-06-26,35.46,35.89,35.16,35.31,34.8007,2271879.0,0.0,1.0
2019-06-25,35.45,35.52,34.9,35.19,34.6824,1853675.0,0.0,1.0
2019-06-24,35.72,35.79,35.39,35.54,35.0274,1621068.0,0.0,1.0
2019-06-21,35.36,37.0,35.04,35.88,35.3625,4338334.0,0.0,1.0
2019-06-20,36.15,36.15,35.31,35.35,34.8401,1879719.0,0.0,1.0
2019-06-19,35.88,36.08,35.35,35.74,35.2245,2011514.0,0.0,1.0
2019-06-18,36.09,36.72,35.71,35.83,35.3132,2680862.0,0.0,1.0
2019-06-17,35.18,35.965,35.04,35.8,35.2836,2287969.0,0.0,1.0
2019-06-14,34.99,35.16,34.56,34.96,34.4557,2414743.0,0.0,1.0
2019-06-13,34.96,35.12,34.6,34.94,34.436,1315426.0,0.0,1.0
2019-06-12,33.81,34.735,33.8,34.7,34.1995,2240306.0,0.0,1.0
2019-06-11,33.77,34.04,33.65,33.83,33.342,1201832.0,0.0,1.0
2019-06-10,33.86,34.0377,33.56,33.74,33.2533,1142811.0,0.0,1.0
2019-06-07,33.84,34.05,33.66,33.68,33.1942,925130.0,0.0,1.0
2019-06-06,34.01,34.23,33.6,33.74,33.2533,1209050.0,0.0,1.0
2019-06-05,34.24,34.57,33.9,34.02,33.5293,1346948.0,0.0,1.0
2019-06-04,34.03,34.81,33.75,34.09,33.5983,2276227.0,0.0,1.0
2019-06-03,34.61,34.81,33.32,33.78,33.2928,2219530.0,0.0,1.0
2019-05-31,34.55,34.81,34.25,34.71,34.2094,1736450.0,0.0,1.0
2019-05-30,35.36,35.695,34.69,34.81,34.3079,1079668.0,0.0,1.0
2019-05-29,36.0,36.16,35.28,35.3,34.7908,1437579.0,0.0,1.0
2019-05-28,36.59,36.95,36.11,36.16,35.6384,2384643.0,0.0,1.0
2019-05-24,36.51,36.76,36.4,36.45,35.9243,828141.0,0.0,1.0
2019-05-23,36.39,36.63,36.18,36.51,35.9834,1860127.0,0.0,1.0
2019-05-22,37.1,37.29,36.62,36.67,36.1411,830229.0,0.0,1.0
2019-05-21,36.82,37.525,36.64,37.18,36.6437,1272400.0,0.0,1.0
2019-05-20,36.54,37.14,36.54,36.68,36.1509,996354.0,0.0,1.0
2019-05-17,36.08,37.07,36.08,36.83,36.2988,1084397.0,0.23,1.0
2019-05-16,37.28,37.6,36.28,36.32,35.574,2679971.0,0.0,1.0
2019-05-15,37.24,37.48,37.13,37.23,36.4653,873872.0,0.0,1.0
2019-05-14,37.54,38.025,37.405,37.48,36.7102,1663135.0,0.0,1.0
2019-05-13,37.48,38.15,37.22,37.5,36.7297,1598369.0,0.0,1.0
2019-05-10,37.9,38.25,36.98,38.05,37.2684,1633502.0,0.0,1.0
2019-05-09,38.08,38.63,36.95,37.97,37.1901,3458170.0,0.0,1.0
2019-05-08,36.56,37.08,36.27,36.82,36.0637,2108681.0,0.0,1.0
2019-05-07,36.97,37.22,36.575,36.7,35.9462,1412324.0,0.0,1.0
2019-05-06,36.72,37.4,36.47,37.31,36.5436,1534153.0,0.0,1.0
2019-05-03,36.86,37.26,36.64,37.02,36.2596,1229683.0,0.0,1.0
2019-05-02,38.75,38.8,36.5,36.84,36.0833,2627742.0,0.0,1.0
2019-05-01,38.66,38.8,38.09,38.74,37.9443,1474972.0,0.0,1.0
2019-04-30,38.59,38.78,37.89,38.5,37.7092,1809965.0,0.0,1.0
2019-04-29,37.74,38.91,37.69,38.73,37.9345,1716829.0,0.0,1.0
2019-04-26,37.8,37.94,37.4,37.91,37.1313,2505690.0,0.0,1.0
2019-04-25,37.48,37.68,37.04,37.64,36.8669,1422924.0,0.0,1.0
2019-04-24,37.51,37.76,37.33,37.45,36.6808,1230821.0,0.0,1.0
2019-04-23,37.22,37.82,37.07,37.6,36.8277,5455096.0,0.0,1.0
2019-04-22,37.84,37.88,37.11,37.24,36.4751,1665002.0,0.0,1.0
2019-04-18,38.34,38.37,37.92,37.92,37.1411,2315174.0,0.0,1.0
2019-04-17,37.18,38.25,37.18,38.21,37.4252,2122111.0,0.0,1.0
2019-04-16,37.11,37.28,36.93,37.21,36.4457,1869325.0,0.0,1.0
2019-04-15,36.91,36.99,36.47,36.98,36.2204,891220.0,0.0,1.0
2019-04-12,36.47,37.08,35.92,36.95,36.191,3175196.0,0.0,1.0
2019-04-11,35.98,36.5,35.53,36.41,35.6621,978211.0,0.0,1.0
2019-04-10,36.91,37.05,35.86,35.93,35.192,843636.0,0.0,1.0
2019-04-09,36.81,37.07,36.59,36.89,36.1323,1793850.0,0.0,1.0
2019-04-08,36.94,36.94,36.65,36.85,36.0931,1928972.0,0.0,1.0
2019-04-05,35.99,37.09,35.94,36.98,36.2204,2116209.0,0.0,1.0
2019-04-04,35.56,36.07,35.39,36.03,35.2899,2223200.0,0.0,1.0
2019-04-03,35.78,35.89,35.3,35.5,34.7708,2831551.0,0.0,1.0
2019-04-02,36.21,36.46,35.21,35.7,34.9667,1491180.0,0.0,1.0
2019-04-01,36.17,36.34,35.94,36.15,35.4075,4338366.0,0.0,1.0
2019-03-29,35.88,36.17,35.39,35.88,35.143,2679171.0,0.0,1.0
2019-03-28,36.14,36.47,35.55,35.67,34.9373,2220583.0,0.0,1.0
2019-03-27,36.75,37.17,36.06,36.2,35.4564,2871305.0,0.0,1.0
2019-03-26,36.46,37.35,36.46,36.71,35.956,3350854.0,0.0,1.0
