date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-03-06,75.3189,80.3959,75.1,80.22,80.22,31704662.0,0.0,1.0
2020-03-05,75.0,77.5,74.53,76.13,76.13,22727606.0,0.0,1.0
2020-03-04,74.9,76.01,72.59,76.01,76.01,23741669.0,0.0,1.0
2020-03-03,74.27,74.82,71.51,74.21,74.21,24481979.0,0.0,1.0
2020-03-02,70.32,75.405,70.08,75.4,75.4,31112986.0,0.0,1.0
2020-02-28,70.17,71.08,66.63,69.36,69.36,33804796.0,0.0,1.0
2020-02-27,78.31,78.88,72.26,72.66,72.66,51482511.0,0.0,1.0
2020-02-26,71.32,75.47,70.72,74.7,74.7,35415184.0,0.0,1.0
2020-02-25,73.73,73.85,69.02,70.1,70.1,39199212.0,0.0,1.0
2020-02-24,73.885,74.52,71.59,72.9,72.9,42905034.0,0.0,1.0
2020-02-21,67.18,69.78,66.81,69.7,69.7,22562012.0,0.0,1.0
2020-02-20,67.26,67.36,66.1,67.0,67.0,8697155.0,0.0,1.0
2020-02-19,67.2,67.54,66.815,67.35,67.35,7754027.0,0.0,1.0
2020-02-18,67.56,67.8,66.71,67.01,67.01,9922962.0,0.0,1.0
2020-02-14,67.41,67.66,67.04,67.56,67.56,9109093.0,0.0,1.0
2020-02-13,67.13,67.77,66.52,66.8,66.8,8030977.0,0.0,1.0
2020-02-12,67.5,67.82,66.32,66.95,66.95,13927128.0,0.0,1.0
2020-02-11,68.93,68.99,67.5,67.76,67.76,12858696.0,0.0,1.0
2020-02-10,69.32,69.4,67.615,68.99,68.99,24347753.0,0.0,1.0
2020-02-07,69.98,71.19,68.39,68.87,68.87,27320131.0,0.0,1.0
2020-02-06,67.29,69.9,66.05,68.21,68.21,28805541.0,0.0,1.0
2020-02-05,66.22,66.55,64.07,65.87,65.87,21184503.0,0.0,1.0
2020-02-04,68.0,68.01,66.88,67.4,67.4,15904094.0,0.0,1.0
2020-02-03,67.735,68.68,65.49,66.36,66.36,35561977.0,0.0,1.0
2020-01-31,63.8,63.93,62.6,63.2,63.2,11416828.0,0.0,1.0
2020-01-30,63.9,64.1,63.03,64.03,64.03,8771797.0,0.0,1.0
2020-01-29,64.42,65.14,64.22,64.3,64.3,7074791.0,0.0,1.0
2020-01-28,64.25,64.875,64.09,64.36,64.36,10241423.0,0.0,1.0
2020-01-27,63.0,64.28,62.8,63.83,63.83,10421651.0,0.0,1.0
2020-01-24,64.07,64.2,62.84,63.15,63.15,18685066.0,0.0,1.0
2020-01-23,63.25,64.055,62.74,63.94,63.94,14648720.0,0.0,1.0
2020-01-22,62.8,63.51,62.6,63.43,63.43,7906261.0,0.0,1.0
2020-01-21,62.91,62.9188,62.23,62.63,62.63,12022989.0,0.0,1.0
2020-01-17,63.5,63.5,62.57,62.98,62.98,13457606.0,0.0,1.0
2020-01-16,64.29,64.38,63.12,63.2,63.2,10633877.0,0.0,1.0
2020-01-15,64.07,64.93,63.98,64.1,64.1,7080575.0,0.0,1.0
2020-01-14,64.41,64.56,63.91,64.2,64.2,9932253.0,0.0,1.0
2020-01-13,65.05,65.26,64.08,64.31,64.31,6762492.0,0.0,1.0
2020-01-10,66.0,66.0899,64.98,65.03,65.03,5154055.0,0.0,1.0
2020-01-09,65.81,66.07,65.3,65.84,65.84,5942291.0,0.0,1.0
2020-01-08,65.11,66.24,64.81,65.8,65.8,6608066.0,0.0,1.0
2020-01-07,65.26,65.29,64.17,65.12,65.12,8085147.0,0.0,1.0
2020-01-06,64.67,65.825,64.66,65.65,65.65,8248705.0,0.0,1.0
2020-01-03,64.63,65.37,64.5646,65.07,65.07,4689788.0,0.0,1.0
2020-01-02,65.53,65.74,65.04,65.23,65.23,4653342.0,0.0,1.0
2019-12-31,64.66,65.06,64.35,64.98,64.98,6985161.0,0.0,1.0
2019-12-30,65.73,66.1,64.81,64.93,64.93,5865520.0,0.0,1.0
2019-12-27,66.38,66.49,65.71,65.95,65.95,4464424.0,0.0,1.0
2019-12-26,66.71,66.91,66.15,66.39,66.39,3528962.0,0.0,1.0
2019-12-24,66.81,66.94,66.29,66.72,66.72,1965785.0,0.0,1.0
2019-12-23,66.7,67.4,66.54,66.75,66.75,7038753.0,0.0,1.0
2019-12-20,65.59,67.0,65.17,66.85,66.85,23449401.0,0.0,1.0
2019-12-19,65.91,65.91,65.16,65.29,65.29,10202439.0,0.0,1.0
2019-12-18,66.31,66.5,65.26,65.68,65.68,10105563.0,0.0,1.0
2019-12-17,66.18,66.41,65.785,66.2,66.2,7881385.0,0.0,1.0
2019-12-16,66.25,66.79,66.09,66.12,66.12,11647699.0,0.0,1.0
2019-12-13,66.25,66.805,65.46,65.77,65.77,8199076.0,0.0,1.0
2019-12-12,67.16,68.16,67.02,67.63,67.63,5732171.0,0.63,1.0
2019-12-11,67.355,67.985,67.11,67.78,67.1544,5590164.0,0.0,1.0
2019-12-10,66.85,67.18,66.13,67.08,66.4609,4273576.0,0.0,1.0
2019-12-09,67.18,67.88,66.83,66.93,66.3123,6037516.0,0.0,1.0
2019-12-06,66.43,67.545,66.08,67.08,66.4609,4140488.0,0.0,1.0
2019-12-05,66.9,66.95,65.4,65.93,65.3215,5847764.0,0.0,1.0
2019-12-04,66.3,67.22,66.06,66.75,66.1339,5093421.0,0.0,1.0
2019-12-03,65.79,66.2,65.17,66.07,65.4602,5383973.0,0.0,1.0
2019-12-02,67.25,67.52,65.935,66.12,65.5098,7642376.0,0.0,1.0
2019-11-29,67.04,67.36,66.81,67.24,66.6194,2658811.0,0.0,1.0
2019-11-27,67.28,67.485,66.7,67.12,66.5005,4980971.0,0.0,1.0
2019-11-26,66.68,67.65,66.68,67.28,66.659,6931471.0,0.0,1.0
2019-11-25,65.55,67.28,65.49,67.22,66.5996,7493928.0,0.0,1.0
2019-11-22,65.79,65.94,65.19,65.26,64.6577,4589261.0,0.0,1.0
2019-11-21,65.1,65.8,64.51,65.73,65.1234,5392021.0,0.0,1.0
2019-11-20,64.78,65.3,64.48,64.88,64.2812,7637912.0,0.0,1.0
2019-11-19,64.73,65.05,64.5,65.0,64.4001,6135134.0,0.0,1.0
2019-11-18,64.88,65.17,63.72,64.29,63.6966,6165734.0,0.0,1.0
2019-11-15,64.16,65.22,64.0,65.07,64.4694,6908607.0,0.0,1.0
2019-11-14,63.23,64.0,62.38,63.81,63.2211,7548288.0,0.0,1.0
2019-11-13,64.15,64.15,63.1,63.33,62.7455,4576594.0,0.0,1.0
2019-11-12,64.56,64.86,64.15,64.32,63.7264,4243339.0,0.0,1.0
2019-11-11,65.02,65.15,64.329,64.64,64.0434,3696404.0,0.0,1.0
2019-11-08,63.53,65.52,63.52,65.38,64.7766,4953194.0,0.0,1.0
2019-11-07,65.02,65.17,63.44,63.96,63.3697,7746046.0,0.0,1.0
2019-11-06,65.63,66.17,65.07,65.41,64.8063,6010492.0,0.0,1.0
2019-11-05,65.41,66.27,65.19,65.39,64.7865,6599117.0,0.0,1.0
2019-11-04,65.16,65.4834,64.03,65.21,64.6081,7008716.0,0.0,1.0
2019-11-01,63.97,64.99,63.76,64.66,64.0632,4956821.0,0.0,1.0
2019-10-31,62.91,63.82,62.74,63.71,63.122,6438062.0,0.0,1.0
2019-10-30,63.45,63.6,62.67,63.15,62.5672,6289188.0,0.0,1.0
2019-10-29,64.0,64.0,63.25,63.45,62.8644,5534229.0,0.0,1.0
2019-10-28,63.63,63.945,62.78,63.73,63.1418,7679718.0,0.0,1.0
2019-10-25,63.0,64.27,62.52,63.32,62.7356,12014712.0,0.0,1.0
2019-10-24,66.75,66.75,65.625,66.0,65.3909,5602506.0,0.0,1.0
2019-10-23,65.72,66.65,65.53,66.58,65.9655,6094254.0,0.0,1.0
2019-10-22,65.71,66.59,65.67,65.86,65.2522,6084316.0,0.0,1.0
2019-10-21,64.94,65.37,64.8,65.21,64.6081,3737043.0,0.0,1.0
2019-10-18,65.4,65.45,64.2,64.91,64.3109,8709961.0,0.0,1.0
2019-10-17,65.3,65.685,64.78,65.23,64.628,4689297.0,0.0,1.0
2019-10-16,65.06,65.875,65.0,65.35,64.7469,4861533.0,0.0,1.0
2019-10-15,64.83,65.74,64.61,65.3,64.6973,5730401.0,0.0,1.0
2019-10-14,63.83,65.02,63.83,64.51,63.9146,4558996.0,0.0,1.0
2019-10-11,63.95,64.49,63.67,63.99,63.3994,5650620.0,0.0,1.0
2019-10-10,62.12,63.405,62.0,63.26,62.6761,5847015.0,0.0,1.0
2019-10-09,62.29,62.43,61.76,61.98,61.408,3655779.0,0.0,1.0
2019-10-08,62.33,62.49,61.37,61.69,61.1206,4641075.0,0.0,1.0
2019-10-07,62.55,63.58,62.28,62.73,62.151,6049800.0,0.0,1.0
2019-10-04,62.45,62.72,61.92,62.56,61.9826,5195798.0,0.0,1.0
2019-10-03,61.74,62.34,60.89,62.23,61.6557,6544306.0,0.0,1.0
2019-10-02,62.94,62.94,61.52,61.62,61.0513,6656097.0,0.0,1.0
2019-10-01,63.6,64.33,62.96,63.22,62.6365,4904759.0,0.0,1.0
2019-09-30,63.0,63.805,62.86,63.38,62.795,8660980.0,0.0,1.0
2019-09-27,63.57,63.92,62.57,62.9,62.3195,7411390.0,0.0,1.0
2019-09-26,64.42,64.42,63.09,63.3,62.7158,6508116.0,0.0,1.0
2019-09-25,64.5,64.84,64.02,64.2,63.6075,4950634.0,0.0,1.0
2019-09-24,65.99,66.025,64.24,64.56,63.9641,5875501.0,0.0,1.0
2019-09-23,66.25,66.33,64.88,65.73,65.1234,5566567.0,0.0,1.0
2019-09-20,65.89,67.015,65.89,66.42,65.807,9775357.0,0.0,1.0
2019-09-19,65.85,66.44,65.64,65.96,65.3512,4199770.0,0.0,1.0
2019-09-18,66.01,66.15,65.11,65.72,65.1134,4349705.0,0.0,1.0
2019-09-17,65.9,66.24,65.28,66.17,65.5593,4830276.0,0.0,1.0
2019-09-16,66.29,66.43,65.66,65.88,65.272,4644135.0,0.0,1.0
2019-09-13,66.75,67.49,65.96,66.52,65.9061,4814680.0,0.0,1.0
2019-09-12,67.5,67.54,66.26,66.36,65.7475,6495533.0,0.63,1.0
2019-09-11,66.99,68.16,66.99,68.08,66.8173,8853340.0,0.0,1.0
2019-09-10,66.08,67.1751,65.77,67.08,65.8359,7419804.0,0.0,1.0
2019-09-09,64.65,66.57,64.63,66.33,65.0998,8700967.0,0.0,1.0
2019-09-06,64.3,65.0,63.915,64.82,63.6178,6833325.0,0.0,1.0
2019-09-05,63.44,64.5,63.33,64.06,62.8719,6011052.0,0.0,1.0
2019-09-04,63.36,63.67,62.39,63.27,62.0965,5902025.0,0.0,1.0
2019-09-03,63.15,63.34,62.2687,62.97,61.8021,4909512.0,0.0,1.0
2019-08-30,63.99,64.01,62.851,63.54,62.3615,5301247.0,0.0,1.0
2019-08-29,64.27,64.42,63.285,63.75,62.5676,4758566.0,0.0,1.0
2019-08-28,63.04,64.19,62.73,63.64,62.4597,5374014.0,0.0,1.0
2019-08-27,63.51,63.89,62.935,63.31,62.1358,5226975.0,0.0,1.0
2019-08-26,63.3,63.3324,62.33,63.0,61.8315,4053539.0,0.0,1.0
2019-08-23,64.07,64.67,62.19,62.51,61.3506,7488696.0,0.0,1.0
2019-08-22,64.31,64.7,63.5411,64.22,63.0289,5084984.0,0.0,1.0
2019-08-21,64.04,64.26,63.67,64.13,62.9406,4494153.0,0.0,1.0
2019-08-20,64.04,64.31,63.38,63.44,62.2634,5286556.0,0.0,1.0
2019-08-19,63.69,64.42,63.69,64.11,62.921,6163388.0,0.0,1.0
2019-08-16,63.41,63.51,62.84,63.14,61.9689,7593275.0,0.0,1.0
2019-08-15,63.28,63.81,62.84,62.87,61.7039,4758927.0,0.0,1.0
2019-08-14,63.69,63.8,62.92,63.12,61.9493,6382051.0,0.0,1.0
2019-08-13,63.72,64.99,63.72,64.3,63.1074,4822137.0,0.0,1.0
2019-08-12,64.93,65.47,63.49,63.98,62.7934,5703448.0,0.0,1.0
2019-08-09,64.7,65.72,64.36,65.24,64.03,5233009.0,0.0,1.0
2019-08-08,63.72,64.9,63.61,64.82,63.6178,5188856.0,0.0,1.0
2019-08-07,63.34,64.1971,62.54,63.88,62.6952,5450410.0,0.0,1.0
2019-08-06,63.46,64.15,62.64,63.98,62.7934,7052092.0,0.0,1.0
2019-08-05,64.3,64.62,62.87,63.36,62.1849,7230012.0,0.0,1.0
2019-08-02,65.19,65.46,64.25,64.95,63.7454,6753078.0,0.0,1.0
2019-08-01,65.66,66.78,65.08,65.47,64.2557,8260162.0,0.0,1.0
2019-07-31,65.65,66.72,64.16,65.52,64.3048,10366344.0,0.0,1.0
2019-07-30,67.8,67.83,66.66,67.09,65.8457,6694549.0,0.0,1.0
2019-07-29,68.09,68.4,67.3,67.87,66.6112,5571668.0,0.0,1.0
2019-07-26,66.35,67.04,65.92,66.92,65.6788,4790598.0,0.0,1.0
2019-07-25,66.57,67.07,66.2,66.32,65.09,4061245.0,0.0,1.0
2019-07-24,66.48,66.8219,65.83,66.64,65.404,4592373.0,0.0,1.0
2019-07-23,65.07,66.44,64.68,66.4,65.1685,7854326.0,0.0,1.0
2019-07-22,65.3,65.82,64.75,64.91,63.7061,6302747.0,0.0,1.0
2019-07-19,67.52,67.53,64.91,65.04,63.8337,8876391.0,0.0,1.0
2019-07-18,66.63,67.6,66.3,67.21,65.9635,4002492.0,0.0,1.0
