date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-03-06,276.45,281.81,268.14,276.18,276.18,1913953.0,0.0,1.0
2020-03-05,276.14,290.22,275.14,287.18,287.18,2418765.0,0.0,1.0
2020-03-04,274.22,286.52,270.52,285.55,285.55,2551248.0,0.0,1.0
2020-03-03,280.96,284.66,264.18,268.24,268.24,2015378.0,0.0,1.0
2020-03-02,266.72,281.33,263.73,281.18,281.18,2520507.0,0.0,1.0
2020-02-28,259.62,266.12,255.59,265.85,265.85,2899411.0,0.0,1.0
2020-02-27,274.26,278.59,268.4,268.77,268.77,2246687.0,0.0,1.0
2020-02-26,286.28,290.93,278.665,280.09,280.09,2449411.0,0.0,1.0
2020-02-25,297.55,301.64,283.57,284.8,284.8,3430555.0,0.0,1.0
2020-02-24,288.44,292.6951,278.01,286.43,286.43,1996775.0,0.0,1.0
2020-02-21,300.6,303.99,295.37,297.57,297.57,1173734.0,0.0,1.0
2020-02-20,304.39,306.19,297.49,301.24,301.24,900984.0,0.0,1.0
2020-02-19,305.5,306.8899,304.395,305.61,305.61,791673.0,0.0,1.0
2020-02-18,303.95,304.83,302.02,303.57,303.57,888254.0,0.0,1.0
2020-02-14,298.56,304.44,297.46,304.29,304.29,855339.0,0.0,1.0
2020-02-13,297.29,300.55,296.85,297.84,297.84,721233.0,0.0,1.0
2020-02-12,297.0,298.87,294.63,298.65,298.65,792310.0,0.0,1.0
2020-02-11,299.9,299.96,296.5,296.92,296.92,903545.0,0.0,1.0
2020-02-10,295.05,298.02,294.089,297.74,297.74,1139831.0,0.0,1.0
2020-02-07,293.17,295.77,291.1,294.71,294.71,921683.0,0.0,1.0
2020-02-06,291.85,294.335,289.81,294.21,294.21,1000690.0,0.0,1.0
2020-02-05,298.82,298.82,286.615,289.81,289.81,1060714.0,0.0,1.0
2020-02-04,287.16,292.8,284.45,290.92,290.92,1345944.0,0.0,1.0
2020-02-03,283.57,285.7682,281.4651,282.8,282.8,1042038.0,0.0,1.0
2020-01-31,285.8,286.48,279.75,280.38,280.38,1268822.0,0.0,1.0
2020-01-30,284.19,286.84,282.45,286.63,286.63,785018.0,0.0,1.0
2020-01-29,289.34,289.7363,283.89,285.92,285.92,858242.0,0.0,1.0
2020-01-28,284.41,288.53,282.94,288.16,288.16,840913.0,0.0,1.0
2020-01-27,281.48,285.975,281.01,283.76,283.76,881215.0,0.0,1.0
2020-01-24,290.0,293.0,287.26,288.08,288.08,1089872.0,0.0,1.0
2020-01-23,289.73,292.675,288.3619,288.58,288.58,1659492.0,0.0,1.0
2020-01-22,286.13,291.49,285.88,290.52,290.52,2611185.0,0.0,1.0
2020-01-21,281.81,285.26,281.54,285.01,285.01,1635150.0,0.0,1.0
2020-01-17,278.78,283.0,276.35,282.85,282.85,2172694.0,0.0,1.0
2020-01-16,274.64,276.89,273.31,276.87,276.87,834723.0,0.0,1.0
2020-01-15,273.82,276.08,272.61,273.0,273.0,1147275.0,0.0,1.0
2020-01-14,275.63,276.305,272.09,272.68,272.68,1216418.0,0.0,1.0
2020-01-13,276.33,277.849,274.83,276.04,276.04,1685337.0,0.0,1.0
2020-01-10,276.49,276.5,273.8269,275.25,275.25,1127384.0,0.0,1.0
2020-01-09,274.0,277.27,273.57,274.9,274.9,1076304.0,0.53,1.0
2020-01-08,268.0,274.77,266.8,272.88,272.3549,1373995.0,0.0,1.0
2020-01-07,266.81,267.52,265.35,266.47,265.9572,915301.0,0.0,1.0
2020-01-06,261.89,266.63,261.77,266.41,265.8974,1026070.0,0.0,1.0
2020-01-03,261.61,265.37,261.44,264.38,263.8713,798549.0,0.0,1.0
2020-01-02,261.08,266.6,261.08,266.16,265.6478,1124553.0,0.0,1.0
2019-12-31,262.7,264.05,260.36,261.93,261.426,1007868.0,0.0,1.0
2019-12-30,267.16,267.88,262.42,262.84,262.3342,995492.0,0.0,1.0
2019-12-27,267.46,267.46,264.485,267.06,266.5461,637958.0,0.0,1.0
2019-12-26,264.44,267.9,264.38,266.87,266.3565,691607.0,0.0,1.0
2019-12-24,266.6,267.21,264.29,264.33,263.8214,417130.0,0.0,1.0
2019-12-23,268.03,268.95,266.22,266.28,265.7676,1411524.0,0.0,1.0
2019-12-20,265.84,267.47,264.43,267.1,266.586,2367759.0,0.0,1.0
2019-12-19,263.04,264.56,262.37,264.05,263.5419,1352866.0,0.0,1.0
2019-12-18,261.27,264.26,260.0,263.2,262.6935,1453357.0,0.0,1.0
2019-12-17,265.0,265.0,259.14,260.4,259.8989,1778679.0,0.0,1.0
2019-12-16,260.78,264.12,260.75,263.5,262.993,1948503.0,0.0,1.0
2019-12-13,252.56,260.66,250.03,259.64,259.1404,1965220.0,0.0,1.0
2019-12-12,251.37,255.69,250.0234,252.75,252.2636,1102316.0,0.0,1.0
2019-12-11,254.14,255.61,247.795,251.9,251.4153,1588910.0,0.0,1.0
2019-12-10,256.07,256.87,252.14,252.32,251.8345,975429.0,0.0,1.0
2019-12-09,256.0,256.88,255.41,255.77,255.2778,1097942.0,0.0,1.0
2019-12-06,254.77,256.29,253.73,256.18,255.687,1029460.0,0.0,1.0
2019-12-05,254.78,255.68,252.16,253.78,253.2917,1248683.0,0.0,1.0
2019-12-04,255.37,255.58,252.94,254.25,253.7608,1526053.0,0.0,1.0
2019-12-03,253.19,256.37,252.36,253.68,253.1919,1547611.0,0.0,1.0
2019-12-02,259.11,259.93,252.651,256.55,256.0563,1486354.0,0.0,1.0
2019-11-29,261.34,262.42,258.34,258.89,258.3918,721546.0,0.0,1.0
2019-11-27,267.28,267.59,260.69,262.15,261.6456,1164185.0,0.0,1.0
2019-11-26,257.41,266.5,257.0,265.88,265.3684,2081542.0,0.0,1.0
2019-11-25,260.86,261.01,256.338,257.07,256.5753,2428594.0,0.0,1.0
2019-11-22,267.92,270.0,255.25,259.81,259.3101,4071842.0,0.0,1.0
2019-11-21,275.11,275.7,269.55,271.15,270.6282,1308102.0,0.0,1.0
2019-11-20,271.41,274.59,270.54,273.48,272.9538,1448969.0,0.0,1.0
2019-11-19,269.85,272.515,267.96,272.26,271.7361,1334157.0,0.0,1.0
2019-11-18,266.96,268.73,264.035,268.4,267.8835,1945172.0,0.0,1.0
2019-11-15,266.35,266.9,263.86,266.05,265.538,1484322.0,0.0,1.0
2019-11-14,261.44,264.97,260.55,264.78,264.2705,974351.0,0.0,1.0
2019-11-13,259.78,262.93,259.0,261.75,261.2463,1340649.0,0.0,1.0
2019-11-12,258.65,262.37,258.0,259.98,259.4797,1227771.0,0.0,1.0
2019-11-11,255.65,259.4,255.47,258.03,257.5335,963916.0,0.0,1.0
2019-11-08,258.52,259.51,255.44,256.85,256.3558,1357206.0,0.0,1.0
2019-11-07,253.0,260.97,252.79,259.35,258.8509,1401409.0,0.0,1.0
2019-11-06,253.25,255.33,251.99,253.42,252.9324,1430590.0,0.0,1.0
2019-11-05,254.4,255.625,250.41,253.16,252.6729,1918927.0,0.0,1.0
2019-11-04,258.17,258.61,253.78,254.06,253.5711,1410867.0,0.0,1.0
2019-11-01,259.91,260.88,256.24,256.48,255.9865,1108738.0,0.0,1.0
